"Date","Wind10int"
2018-08-08,3.1935978
2018-08-09,3.4537568
2018-08-10,4.1395535
2018-08-11,4.035857
2018-08-12,2.2674613
2018-08-13,2.951311
2018-08-14,3.9213953
2018-08-15,2.4671848
2018-08-16,2.2528846
2018-08-17,2.3923256
2018-08-18,2.2607918
2018-08-19,2.3396778
2018-08-20,3.0967257
2018-08-21,1.872616
2018-08-22,1.9712807
2018-08-23,2.3682344
2018-08-24,3.8232906
2018-08-25,3.812252
2018-08-26,2.9718103
2018-08-27,4.3323336
2018-08-28,2.075228
2018-08-29,2.7233415
2018-08-30,3.7065237
2018-08-31,2.7700078
2018-09-01,2.6329467
2018-09-02,3.1782894
2018-09-03,2.588104
2018-09-04,2.1141949
2018-09-05,2.0421875
2018-09-06,2.2458177
2018-09-07,3.0602844
2018-09-08,2.8599496
2018-09-09,2.0806248
2018-09-10,2.532839
2018-09-11,3.7601001
2018-09-12,2.9385972
2018-09-13,1.8959725
2018-09-14,1.9058793
2018-09-15,3.0123584
2018-09-16,2.1769805
2018-09-17,2.0828178
2018-09-18,3.1004446
2018-09-19,2.9303498
2018-09-20,3.0960426
2018-09-21,5.6937304
2018-09-22,4.763227
2018-09-23,4.3313937
2018-09-24,5.2231135
2018-09-25,2.8097608
2018-09-26,3.7111938
2018-09-27,3.0066614
2018-09-28,3.691873
2018-09-29,2.7687647
2018-09-30,2.3266692
2018-10-01,3.6968975
2018-10-02,5.410443
2018-10-03,5.157154
2018-10-04,2.6853468
2018-10-05,2.7214973
2018-10-06,2.5284185
2018-10-07,2.946241
2018-10-08,2.1780982
2018-10-09,2.1161633
2018-10-10,3.0657914
2018-10-11,3.3568656
2018-10-12,2.844047
2018-10-13,3.086442
2018-10-14,3.5029514
2018-10-15,2.4051538
2018-10-16,1.5175624
2018-10-17,1.4835391
2018-10-18,2.7308424
2018-10-19,1.9385498
2018-10-20,2.154606
2018-10-21,2.1147995
2018-10-22,3.0471246
2018-10-23,6.523777
2018-10-24,5.820558
2018-10-25,5.001901
2018-10-26,3.9746459
2018-10-27,3.6533606
2018-10-28,4.6723375
2018-10-29,4.8348527
2018-10-30,5.7908034
2018-10-31,4.003877
2018-11-01,2.8464375
2018-11-02,2.9600859
2018-11-03,2.2445207
2018-11-04,2.585987
2018-11-05,2.7994466
2018-11-06,2.7327154
2018-11-07,2.6218781
2018-11-08,2.1722465
2018-11-09,2.7236876
2018-11-10,3.9165683
2018-11-11,4.075349
2018-11-12,3.2417383
2018-11-13,3.8002934
2018-11-14,2.5245044
2018-11-15,2.5517936
2018-11-16,3.4847455
2018-11-17,4.1512733
2018-11-18,3.6943815
2018-11-19,5.5453205
2018-11-20,5.509078
2018-11-21,3.67081
2018-11-22,2.6537988
2018-11-23,2.3300009
2018-11-24,2.1325877
2018-11-25,2.5496547
2018-11-26,3.4010763
2018-11-27,2.1482651
2018-11-28,3.9566998
2018-11-29,4.909399
2018-11-30,3.6235337
2018-12-01,3.7108934
2018-12-02,5.127058
2018-12-03,5.094601
2018-12-04,4.219722
2018-12-05,3.0283759
2018-12-06,4.1182375
2018-12-07,5.734268
2018-12-08,7.491977
2018-12-09,7.1031423
2018-12-10,6.2390895
2018-12-11,4.5610414
2018-12-12,2.830935
2018-12-13,3.5554824
2018-12-14,2.8692346
2018-12-15,2.881612
2018-12-16,3.3387332
2018-12-17,2.6639955
2018-12-18,3.1956892
2018-12-19,3.6586251
2018-12-20,3.7124233
2018-12-21,6.1400685
2018-12-22,5.2889533
2018-12-23,4.208258
2018-12-24,4.091827
2018-12-25,3.967134
2018-12-26,3.3546245
2018-12-27,2.7801747
2018-12-28,2.7657874
2018-12-29,4.2873454
2018-12-30,5.0297427
2018-12-31,2.8896832
2019-01-01,6.520291
2019-01-02,5.7523828
2019-01-03,3.2487328
2019-01-04,4.3084416
2019-01-05,5.1090937
2019-01-06,3.1992915
2019-01-07,4.019997
2019-01-08,7.5014205
2019-01-09,6.0416045
2019-01-10,3.2027533
2019-01-11,4.219413
2019-01-12,5.5537047
2019-01-13,6.793167
2019-01-14,6.402249
2019-01-15,5.9427724
2019-01-16,5.123614
2019-01-17,5.6092935
2019-01-18,3.019292
2019-01-19,2.1844606
2019-01-20,1.7838659
2019-01-21,2.129102
2019-01-22,2.9259605
2019-01-23,2.8471773
2019-01-24,1.8616548
2019-01-25,2.6864383
2019-01-26,4.601629
2019-01-27,4.8138113
2019-01-28,4.781067
2019-01-29,3.4540684
2019-01-30,4.04644
2019-01-31,2.9171042
2019-02-01,3.2806883
2019-02-02,2.1761966
2019-02-03,3.7931368
2019-02-04,3.6994464
2019-02-05,3.3045542
2019-02-06,3.276386
2019-02-07,4.609687
2019-02-08,5.3281474
2019-02-09,6.7621307
2019-02-10,6.1067405
2019-02-11,6.1764054
2019-02-12,4.225213
2019-02-13,3.5099847
2019-02-14,2.224618
2019-02-15,2.3036907
2019-02-16,2.9550104
2019-02-17,2.4823802
2019-02-18,2.4849358
2019-02-19,4.0759797
2019-02-20,3.1609857
2019-02-21,3.5689726
2019-02-22,3.3066576
2019-02-23,3.0623195
2019-02-24,2.0110798
2019-02-25,2.1125953
2019-02-26,1.9708717
2019-02-27,2.187367
2019-02-28,4.12693
2019-03-01,3.2873445
2019-03-02,3.3633716
2019-03-03,5.958748
2019-03-04,7.5902324
2019-03-05,5.970202
2019-03-06,4.4522314
2019-03-07,6.276862
2019-03-08,6.330653
2019-03-09,7.3865848
2019-03-10,6.107852
2019-03-11,5.6086044
2019-03-12,5.3455877
2019-03-13,7.2817097
2019-03-14,6.7526546
2019-03-15,7.0604286
2019-03-16,6.177153
2019-03-17,5.893615
2019-03-18,5.3398943
2019-03-19,2.6599429
2019-03-20,2.5088217
2019-03-21,2.6547108
2019-03-22,2.031085
2019-03-23,2.617962
2019-03-24,2.3803053
2019-03-25,4.685512
2019-03-26,4.0839076
2019-03-27,2.973112
2019-03-28,2.5328305
2019-03-29,2.2909942
2019-03-30,2.286736
2019-03-31,3.0309045
2019-04-01,3.489788
2019-04-02,3.6872091
2019-04-03,2.530616
2019-04-04,2.612369
2019-04-05,2.0417695
2019-04-06,2.7519004
2019-04-07,2.5419965
2019-04-08,2.4633815
2019-04-09,3.1642592
2019-04-10,3.6073127
2019-04-11,3.6498706
2019-04-12,3.4332712
2019-04-13,3.3445022
2019-04-14,3.7058408
2019-04-15,3.635862
2019-04-16,3.4230125
2019-04-17,3.3297215
2019-04-18,3.9298997
2019-04-19,3.3476596
2019-04-20,2.672139
2019-04-21,2.492265
2019-04-22,4.686351
2019-04-23,5.6131253
2019-04-24,4.1598854
2019-04-25,3.4510834
2019-04-26,3.507313
2019-04-27,3.5974991
2019-04-28,2.67852
2019-04-29,3.5900493
2019-04-30,3.1539078
2019-05-01,3.168521
2019-05-02,4.3031445
2019-05-03,4.0918446
2019-05-04,3.5703986
2019-05-05,3.038548
2019-05-06,3.4095585
2019-05-07,2.2052026
2019-05-08,3.7235138
2019-05-09,3.4694684
2019-05-10,3.223527
2019-05-11,3.5419464
2019-05-12,4.249504
2019-05-13,3.687229
2019-05-14,3.6681113
2019-05-15,3.4893167
2019-05-16,3.1024437
2019-05-17,2.6792917
2019-05-18,2.32542
2019-05-19,2.4041831
2019-05-20,3.386205
2019-05-21,4.2378836
2019-05-22,4.1661415
2019-05-23,2.1146002
2019-05-24,2.3552403
2019-05-25,2.7001078
2019-05-26,3.5335655
2019-05-27,3.113173
2019-05-28,2.7065773
2019-05-29,2.5235424
2019-05-30,3.25327
2019-05-31,2.5665195
2019-06-01,2.168787
2019-06-02,2.6126852
2019-06-03,2.668789
2019-06-04,2.4619708
2019-06-05,2.817681
2019-06-06,3.6918802
2019-06-07,3.2511084
2019-06-08,5.2373815
2019-06-09,2.61776
2019-06-10,2.5446239
2019-06-11,2.256593
2019-06-12,2.900254
2019-06-13,2.7253654
2019-06-14,2.7625718
2019-06-15,3.6931422
2019-06-16,2.1413267
2019-06-17,2.0776346
2019-06-18,2.3008814
2019-06-19,2.377887
2019-06-20,2.730274
2019-06-21,2.334241
2019-06-22,3.1046727
2019-06-23,3.3507738
2019-06-24,3.456526
2019-06-25,2.778499
2019-06-26,3.0980694
2019-06-27,4.0070753
2019-06-28,2.5151515
2019-06-29,2.125012
2019-06-30,3.5916777
2019-07-01,3.8842924
2019-07-02,4.052373
2019-07-03,3.4742672
2019-07-04,3.104651
2019-07-05,3.4603548
2019-07-06,3.7710755
2019-07-07,4.0968914
2019-07-08,3.556163
2019-07-09,3.487862
2019-07-10,2.447716
2019-07-11,1.8134751
2019-07-12,2.375153
2019-07-13,3.3410995
2019-07-14,3.0398254
2019-07-15,3.2770517
2019-07-16,3.273766
2019-07-17,1.7868853
2019-07-18,1.8614109
2019-07-19,2.2384863
2019-07-20,2.6710465
2019-07-21,3.1909585
2019-07-22,2.1365361
2019-07-23,2.0072768
2019-07-24,2.060564
2019-07-25,2.624027
2019-07-26,3.332885
2019-07-27,3.6313007
2019-07-28,3.0699182
2019-07-29,2.5105608
2019-07-30,2.2567673
2019-07-31,2.4444802
2019-08-01,1.8866829
2019-08-02,1.660772
2019-08-03,2.3433182
2019-08-04,1.7744807
2019-08-05,2.2342575
