"date","hdd16_sum","wind_speed_sum"
2018-01-01,8.73464934190211,6.13238050503523
2018-01-02,10.6311551786927,4.99427586467979
2018-01-03,9.1731171671381,8.32324669147198
2018-01-04,8.46864190213579,5.82843874232937
2018-01-05,8.16154917854579,4.95753444791572
2018-01-06,9.8566529570532,2.50957678736239
2018-01-07,12.851146024466,4.61808559484513
2018-01-08,13.3458029238183,5.12434894829154
2018-01-09,11.654888787186,3.98411239784157
2018-01-10,10.6915885859029,2.39446082522656
2018-01-11,11.8990088224488,1.51094556323357
2018-01-12,12.3116568906095,2.14296972482639
2018-01-13,12.985275238488,3.78879193611268
2018-01-14,14.825938341602,4.01193037436304
2018-01-15,13.4216554425913,5.31189342169808
2018-01-16,11.3156308906914,5.95011907517658
2018-01-17,13.5799213826281,5.95084746766555
2018-01-18,11.6495990236598,7.49940897502642
2018-01-19,13.1299259253478,3.86663000823125
2018-01-20,13.8644962521871,3.2331924847698
2018-01-21,14.3414257466875,2.66978202798096
2018-01-22,12.6587117140273,3.5513453762046
2018-01-23,10.2083186349843,3.9299900603729
2018-01-24,6.6904729931494,5.49468204876263
2018-01-25,7.64865840288124,3.53832245279302
2018-01-26,9.7456395638888,1.8679997407493
2018-01-27,10.7319364723705,2.87943024758177
2018-01-28,8.38474980184903,6.15674930660539
2018-01-29,7.15104223339174,6.88026629380969
2018-01-30,10.5235156565572,3.9141294932594
2018-01-31,9.3994914745447,5.35053249393894
2018-02-01,12.4616291803198,4.5987002343851
2018-02-02,13.0568911855736,4.06966594300229
2018-02-03,14.1261734187797,2.77075454159833
2018-02-04,15.8367644129674,2.94543517276784
2018-02-05,16.3250281020279,3.76295548612086
2018-02-06,17.5467493349861,2.69973301014102
2018-02-07,17.2529292731549,2.18371230058227
2018-02-08,17.7339172088097,1.57671180171889
2018-02-09,16.8513462685138,2.58058539657089
2018-02-10,14.9644573711962,2.74546587926833
2018-02-11,13.4974866908534,5.13491835929927
2018-02-12,14.3770596700277,4.15614272394415
2018-02-13,15.4956435395953,3.11546624220488
2018-02-14,16.3092947160347,3.1252876401429
2018-02-15,14.6878994994302,4.2414522135167
2018-02-16,12.5922423557271,2.84007302095769
2018-02-17,14.732061286827,2.28177919986585
2018-02-18,14.9217562771398,2.19323617954036
2018-02-19,15.2460697819955,1.9376623580358
2018-02-20,15.7865424871287,2.26870818495636
2018-02-21,16.1663381443511,3.19328273234604
2018-02-22,16.6072238467448,4.34677000060285
2018-02-23,17.4438747049472,4.83564266123598
2018-02-24,17.7621130313811,5.82061303783291
2018-02-25,20.5542721726602,4.88074489263313
2018-02-26,21.9733044919435,4.62464391841788
2018-02-27,23.0728596914359,3.76872061775793
2018-02-28,24.2663775761204,5.10887060339139
2018-03-01,21.8952633725793,6.33505383516723
2018-03-02,20.9407637127813,4.82636662837634
2018-03-03,18.4242579880705,3.66734671712166
2018-03-04,13.7015476688356,3.64654054665676
2018-03-05,10.4805629703872,3.12441125600687
2018-03-06,12.0970497726109,2.18116007737403
2018-03-07,11.5510746030508,3.02670318768807
2018-03-08,10.2305186237018,4.7800446692155
2018-03-09,10.08123035875,3.54273477452014
2018-03-10,6.81260450314786,3.16146902103855
2018-03-11,5.04484186771574,2.9104135124428
2018-03-12,6.67460558760419,3.29777416413927
2018-03-13,8.49577838110601,5.13788824755534
2018-03-14,10.7743728536401,2.82491974358112
2018-03-15,10.5720989641625,5.31093127125405
2018-03-16,12.0484429258405,4.94049646316649
2018-03-17,17.3146192513596,7.27125121028456
2018-03-18,18.2896917674169,7.02222390007888
2018-03-19,17.5762548672491,3.86303969629931
2018-03-20,15.9626872431808,3.65435222133463
2018-03-21,15.1499251398271,2.80559440835275
2018-03-22,13.5724917786393,4.03407352045843
2018-03-23,11.485404937195,2.34580401575462
2018-03-24,10.548220020506,2.58473627711112
2018-03-25,9.95907661497957,1.84968667620363
2018-03-26,10.622633133887,2.41827394845178
2018-03-27,10.3114275460976,2.74853458656037
2018-03-28,9.37108709754435,4.35854729944121
2018-03-29,10.4831064051915,4.06415624149067
2018-03-30,8.94233465381065,3.76478445182709
2018-03-31,9.79895131720895,3.32060085576782
2018-04-01,11.2343510556806,4.50641545368434
2018-04-02,8.51870513402852,3.34669007158448
2018-04-03,2.57244944325738,3.95015173585829
2018-04-04,3.16894141678571,4.01377029190212
2018-04-05,7.34119483582419,5.41834905515218
2018-04-06,8.10036132870903,3.6897869402514
2018-04-07,2.73881071789871,3.84503453194552
2018-04-08,1.14123822826788,2.59642545921244
2018-04-09,1.41294013287062,2.37836554591628
2018-04-10,1.88975658069324,3.45839278323401
2018-04-11,3.99597800101836,3.5513333733229
2018-04-12,2.02843079933432,3.95204673184476
2018-04-13,3.87395218877377,3.29018090979967
2018-04-14,3.38172098210149,2.98160070435185
2018-04-15,2.46074783496865,2.04059382047491
2018-04-16,2.68275950254893,2.30245066711598
2018-04-17,1.94164552292693,1.97867423740122
2018-04-18,0.257132066368905,2.16666930831882
2018-04-19,0,2.77187887044381
2018-04-20,0,2.37269010638695
2018-04-21,0.303727023443721,2.30904423690252
2018-04-22,0.280608978427294,2.49559000525176
2018-04-23,0.413808411062949,3.77155043270924
2018-04-24,2.32330350884002,3.79481823956027
2018-04-25,2.34281274755342,4.86124175216771
2018-04-26,5.84318811930935,4.402726537977
2018-04-27,4.04915989388544,2.71631594184602
2018-04-28,1.69682839454416,2.83639981927251
2018-04-29,0.512687106688715,2.97942750391134
2018-04-30,2.02661694937014,5.46844810448089
2018-05-01,6.01892603347114,4.97372689693303
