"date","wind_speed_sum","temperature_air_mean_200_sum","temperature_air_min_200_sum","temperature_air_max_200_sum","celctemp","hdd16","hdd17","hdd15"
2018-01-01,6.13238050503523,279.415350658098,276.594405931374,282.245365119279,7.26535065809787,8.73464934190213,9.73464934190213,7.73464934190213
2018-01-02,4.99427586467979,277.518844821307,275.96648351499,278.963000622295,5.36884482130733,10.6311551786927,11.6311551786927,9.63115517869267
2018-01-03,8.32324669147198,278.976882832862,276.572177567945,282.367548443341,6.82688283286188,9.17311716713812,10.1731171671381,8.17311716713812
2018-01-04,5.82843874232937,279.681358097864,277.75058129255,282.560565852594,7.5313580978642,8.4686419021358,9.4686419021358,7.4686419021358
2018-01-05,4.95753444791572,279.988450821454,277.759105136405,281.909158772366,7.83845082145422,8.16154917854578,9.16154917854578,7.16154917854578
2018-01-06,2.50957678736239,278.293347042947,275.646759868925,280.430781311957,6.1433470429468,9.8566529570532,10.8566529570532,8.8566529570532
2018-01-07,4.61808559484513,275.298853975534,273.232469123245,277.322965934557,3.148853975534,12.851146024466,13.851146024466,11.851146024466
2018-01-08,5.12434894829154,274.804197076182,273.184973440152,276.987037734373,2.65419707618173,13.3458029238183,14.3458029238183,12.3458029238183
2018-01-09,3.98411239784157,276.495111212814,273.473838625591,279.422557372987,4.34511121281406,11.6548887871859,12.6548887871859,10.6548887871859
2018-01-10,2.39446082522656,277.458411414097,274.8222840137,280.921785500266,5.30841141409712,10.6915885859029,11.6915885859029,9.69158858590288
2018-01-11,1.51094556323357,276.250991177551,274.053928518769,278.679156401252,4.10099117755124,11.8990088224488,12.8990088224488,10.8990088224488
2018-01-12,2.14296972482639,275.83834310939,274.668936010618,276.941363259188,3.68834310939047,12.3116568906095,13.3116568906095,11.3116568906095
2018-01-13,3.78879193611268,275.164724761512,273.016714487185,276.596597281649,3.01472476151201,12.985275238488,13.985275238488,11.985275238488
2018-01-14,4.01193037436304,273.324061658398,271.250924604309,275.090864033831,1.17406165839805,14.825938341602,15.825938341602,13.825938341602
2018-01-15,5.31189342169808,274.728344557409,271.137636628384,277.873570444583,2.57834455740868,13.4216554425913,14.4216554425913,12.4216554425913
2018-01-16,5.95011907517658,276.834369109309,273.963164790354,279.052410332816,4.68436910930859,11.3156308906914,12.3156308906914,10.3156308906914
2018-01-17,5.95084746766555,274.570078617372,272.957844028102,276.112955678533,2.42007861737193,13.5799213826281,14.5799213826281,12.5799213826281
2018-01-18,7.49940897502642,276.50040097634,273.624698319817,280.352030274031,4.35040097634021,11.6495990236598,12.6495990236598,10.6495990236598
2018-01-19,3.86663000823125,275.020074074652,273.083589735539,277.053000920053,2.87007407465222,13.1299259253478,14.1299259253478,12.1299259253478
2018-01-20,3.2331924847698,274.285503747813,272.757697141018,275.83472902319,2.13550374781295,13.8644962521871,14.8644962521871,12.8644962521871
2018-01-21,2.66978202798096,273.808574253312,271.895311544048,275.372313461106,1.65857425331251,14.3414257466875,15.3414257466875,13.3414257466875
2018-01-22,3.5513453762046,275.491288285973,272.762794944421,278.093596231718,3.34128828597272,12.6587117140273,13.6587117140273,11.6587117140273
2018-01-23,3.9299900603729,277.941681365016,275.96467502309,280.231602279723,5.79168136501568,10.2083186349843,11.2083186349843,9.20831863498432
2018-01-24,5.49468204876263,281.459527006851,278.65037608428,284.52155763973,9.3095270068506,6.6904729931494,7.6904729931494,5.6904729931494
2018-01-25,3.53832245279302,280.501341597119,278.097928543854,283.264944092198,8.35134159711873,7.64865840288127,8.64865840288127,6.64865840288127
2018-01-26,1.8679997407493,278.404360436111,275.99261645937,280.629695059581,6.2543604361112,9.7456395638888,10.7456395638888,8.7456395638888
2018-01-27,2.87943024758177,277.418063527629,275.385383812797,279.480426899246,5.26806352762952,10.7319364723705,11.7319364723705,9.73193647237048
2018-01-28,6.15674930660539,279.765250198151,276.896728927321,281.76195166652,7.61525019815099,8.38474980184901,9.38474980184901,7.38474980184901
2018-01-29,6.88026629380969,280.998957766608,278.006795621903,282.615548334652,8.84895776660829,7.15104223339171,8.15104223339171,6.15104223339171
2018-01-30,3.9141294932594,277.626484343443,274.503497477501,280.034802742723,5.47648434344279,10.5235156565572,11.5235156565572,9.52351565655721
2018-01-31,5.35053249393894,278.750508525455,274.656459959711,281.762504289728,6.60050852545533,9.39949147454467,10.3994914745447,8.39949147454467
2018-02-01,4.5987002343851,275.68837081968,273.460626241604,277.949778173374,3.53837081968015,12.4616291803198,13.4616291803198,11.4616291803198
2018-02-02,4.06966594300229,275.093108814426,272.826109099761,276.744228303517,2.94310881442641,13.0568911855736,14.0568911855736,12.0568911855736
2018-02-03,2.77075454159833,274.02382658122,272.020261136695,275.782389955456,1.87382658122033,14.1261734187797,15.1261734187797,13.1261734187797
2018-02-04,2.94543517276784,272.313235587033,270.20993493707,274.320165599481,0.163235587032602,15.8367644129674,16.8367644129674,14.8367644129674
2018-02-05,3.76295548612086,271.824971897972,269.052097606698,274.327093966209,-0.325028102027886,16.3250281020279,17.3250281020279,15.3250281020279
2018-02-06,2.69973301014102,270.603250665014,267.729977675674,273.703785037372,-1.54674933498609,17.5467493349861,18.5467493349861,16.5467493349861
2018-02-07,2.18371230058227,270.897070726845,267.652731103546,273.824886560381,-1.25292927315485,17.2529292731548,18.2529292731548,16.2529292731548
2018-02-08,1.57671180171889,270.41608279119,267.135007887256,273.835843720027,-1.73391720880966,17.7339172088097,18.7339172088097,16.7339172088097
2018-02-09,2.58058539657089,271.298653731486,268.17263287834,273.918158327065,-0.851346268513794,16.8513462685138,17.8513462685138,15.8513462685138
