Gastag,Restlast[kWh]*,,
26.08.2018,284978195,,
27.08.2018,279304559,,
28.08.2018,263088504,,
29.08.2018,243538572,,
30.08.2018,267124583,,
31.08.2018,306447669,,
01.09.2018,310005402,,
02.09.2018,304069274,,
03.09.2018,273159992,,
04.09.2018,258217635,,
05.09.2018,216657143,,
06.09.2018,253482100,,
07.09.2018,280394545,,
08.09.2018,305582267,,
09.09.2018,282098452,,
10.09.2018,268005111,,
11.09.2018,261741990,,
12.09.2018,271402380,,
13.09.2018,310881936,,
14.09.2018,317755855,,
15.09.2018,331376340,,
16.09.2018,326413349,,
17.09.2018,296315583,,
18.09.2018,264052576,,
19.09.2018,246562283,,
20.09.2018,234529306,,
21.09.2018,278913515,,
22.09.2018,377977293,,
23.09.2018,492895077,,
24.09.2018,642408659,,
25.09.2018,731566818,,
26.09.2018,717399370,,
27.09.2018,566535365,,
28.09.2018,668546119,,
29.09.2018,770490749,,
30.09.2018,763020025,,
01.10.2018,883294079,,
02.10.2018,1053449005,,
03.10.2018,919228979,,
04.10.2018,872097600,,
05.10.2018,710278379,,
06.10.2018,595727061,,
07.10.2018,719000972,,
08.10.2018,797700555,,
09.10.2018,739827451,,
10.10.2018,628583406,,
11.10.2018,535396948,,
12.10.2018,454147126,,
13.10.2018,411682152,,
14.10.2018,428817461,,
15.10.2018,468005224,,
16.10.2018,501176768,,
17.10.2018,530485270,,
18.10.2018,621180774,,
19.10.2018,755649118,,
20.10.2018,848496332,,
21.10.2018,901865882,,
22.10.2018,1036945428,,
23.10.2018,1138723266,,
24.10.2018,1008305909,,
25.10.2018,981402708,,
26.10.2018,1076684319,,
27.10.2018,1321940502,,
28.10.2018,1540728277,,
29.10.2018,1595364753,,
30.10.2018,1512871241,,
31.10.2018,1423844302,,
01.11.2018,1373547973,,
02.11.2018,1329308181,,
03.11.2018,1397056207,,
04.11.2018,1334622174,,
05.11.2018,1209225136,,
06.11.2018,1155144426,,
07.11.2018,1106342747,,
08.11.2018,1141091035,,
09.11.2018,1170033776,,
10.11.2018,1126490495,,
11.11.2018,1092166354,,
12.11.2018,1066487360,,
13.11.2018,1201478247,,
14.11.2018,1351911682,,
15.11.2018,1525021138,,
16.11.2018,1631501433,,
17.11.2018,1777079267,,
18.11.2018,1911785817,,
19.11.2018,1994021979,,
20.11.2018,2116385680,,
21.11.2018,2144393680,,
22.11.2018,2098716272,,
23.11.2018,2035257914,,
24.11.2018,1935680405,,
25.11.2018,1866259778,,
26.11.2018,1944065398,,
27.11.2018,2084044562,,
28.11.2018,2146039382,,
29.11.2018,1983515945,,
30.11.2018,1824665247,,
01.12.2018,1706503915,,
02.12.2018,1484455706,,
03.12.2018,1331710859,,
04.12.2018,1642726220,,
05.12.2018,1860667680,,
06.12.2018,1578687548,,
07.12.2018,1430003761,,
08.12.2018,1593044666,,
09.12.2018,1659702206,,
10.12.2018,1920833047,,
11.12.2018,2002709797,,
12.12.2018,2086449366,,
13.12.2018,2227755250,,
14.12.2018,2317802167,,
15.12.2018,2406699772,,
16.12.2018,2399321015,,
17.12.2018,2204864042,,
18.12.2018,2067976553,,
19.12.2018,2033576982,,
20.12.2018,1870271531,,
21.12.2018,1661570345,,
22.12.2018,1567663080,,
23.12.2018,1592612964,,
24.12.2018,1854229554,,
25.12.2018,1951165771,,
26.12.2018,2036113237,,
27.12.2018,2063886563,,
28.12.2018,2052523610,,
29.12.2018,1939005216,,
30.12.2018,1812039856,,
31.12.2018,1710074071,,
01.01.2019,696229906,,
02.01.2019,2139193423,,
03.01.2019,2300823173,,
04.01.2019,2198967832,,
05.01.2019,1974203660,,
06.01.2019,1951578916,,
07.01.2019,1980307311,,
08.01.2019,2045572332,,
09.01.2019,2249992907,,
10.01.2019,2336114670,,
11.01.2019,2213980122,,
12.01.2019,2020923626,,
13.01.2019,1898243488,,
14.01.2019,2136988803,,
15.01.2019,2085523571,,
16.01.2019,1995595880,,
17.01.2019,2100429136,,
18.01.2019,2352590396,,
19.01.2019,2480619457,,
20.01.2019,2650950245,,
21.01.2019,2794630355,,
22.01.2019,2797271898,,
23.01.2019,2860624320,,
24.01.2019,2896764658,,
25.01.2019,2749172308,,
26.01.2019,2291120348,,
27.01.2019,2102079984,,
28.01.2019,2306258349,,
29.01.2019,2385321212,,
30.01.2019,2482420228,,
31.01.2019,2453453693,,
01.02.2019,2354199229,,
02.02.2019,2268562836,,
03.02.2019,2322205665,,
04.02.2019,2352491414,,
05.02.2019,2303614282,,
06.02.2019,2228099468,,
07.02.2019,2119040747,,
08.02.2019,1924943251,,
09.02.2019,1771981825,,
10.02.2019,1813512738,,
11.02.2019,2031061867,,
12.02.2019,2084851798,,
13.02.2019,1984200716,,
14.02.2019,1896914674,,
15.02.2019,1740966422,,
16.02.2019,1609469363,,
17.02.2019,1585397840,,
18.02.2019,1559712517,,
19.02.2019,1652412018,,
20.02.2019,1641696145,,
21.02.2019,1543687004,,
22.02.2019,1598260155,,
23.02.2019,1787901769,,
24.02.2019,1704182839,,
25.02.2019,1569272360,,
26.02.2019,1478004399,,
27.02.2019,1355579789,,
28.02.2019,1340714619,,
01.03.2019,1510259029,,
02.03.2019,1530654618,,
03.03.2019,1379861639,,
04.03.2019,1482395245,,
05.03.2019,1664483617,,
06.03.2019,1462911496,,
07.03.2019,1400421160,,
08.03.2019,1520499912,,
09.03.2019,1501904842,,
10.03.2019,1612166547,,
11.03.2019,1907204914,,
12.03.2019,1747490605,,
13.03.2019,1781338951,,
14.03.2019,1817357933,,
15.03.2019,1637225318,,
16.03.2019,1523314359,,
17.03.2019,1549487571,,
18.03.2019,1750390687,,
19.03.2019,1711548221,,
20.03.2019,1559575897,,
21.03.2019,1315848969,,
22.03.2019,1132686235,,
23.03.2019,1175069353,,
24.03.2019,1287017460,,
25.03.2019,1541057597,,
26.03.2019,1595162176,,
27.03.2019,1465927016,,
28.03.2019,1321197007,,
29.03.2019,1100488453,,
30.03.2019,920386177,,
31.03.2019,1106949599,,
01.04.2019,1167733055,,
02.04.2019,1056005015,,
03.04.2019,1124987992,,
04.04.2019,1301513458,,
05.04.2019,1320862746,,
06.04.2019,1013228785,,
07.04.2019,852828132,,
08.04.2019,888923457,,
09.04.2019,1029091202,,
10.04.2019,1202940544,,
11.04.2019,1360404322,,
12.04.2019,1567567571,,
13.04.2019,1632961997,,
14.04.2019,1562118574,,
15.04.2019,1220532848,,
16.04.2019,1028748303,,
17.04.2019,898465952,,
18.04.2019,716484388,,
19.04.2019,581856559,,
20.04.2019,549880655,,
21.04.2019,520059812,,
22.04.2019,497914209,,
23.04.2019,497653177,,
24.04.2019,453509582,,
25.04.2019,461287735,,
26.04.2019,612749325,,
27.04.2019,763162654,,
28.04.2019,894752422,,
29.04.2019,973526048,,
30.04.2019,830306984,,
01.05.2019,778579414,,
02.05.2019,832710352,,
03.05.2019,977273321,,
04.05.2019,1205117800,,
05.05.2019,1226662203,,
06.05.2019,1242905280,,
07.05.2019,1127705166,,
08.05.2019,1054700788,,
09.05.2019,908520452,,
10.05.2019,880525890,,
11.05.2019,951808665,,
12.05.2019,980908341,,
13.05.2019,924987433,,
14.05.2019,929701405,,
15.05.2019,920858931,,
16.05.2019,971820448,,
17.05.2019,807758740,,
18.05.2019,563863138,,
19.05.2019,487951021,,
20.05.2019,552176960,,
21.05.2019,662635093,,
22.05.2019,679918458,,
23.05.2019,542291404,,
24.05.2019,441222316,,
25.05.2019,479733819,,
26.05.2019,451826671,,
27.05.2019,443653646,,
28.05.2019,543357358,,
29.05.2019,561974324,,
30.05.2019,482152626,,
31.05.2019,367112562,,
01.06.2019,301785026,,
02.06.2019,258138531,,
03.06.2019,253849591,,
04.06.2019,253378328,,
05.06.2019,229256925,,
06.06.2019,292074448,,
07.06.2019,289926929,,
08.06.2019,321096273,,
09.06.2019,293362304,,
10.06.2019,278960638,,
11.06.2019,286427673,,
12.06.2019,309903405,,
13.06.2019,295768980,,
14.06.2019,253635709,,
15.06.2019,248047867,,
16.06.2019,269836705,,
17.06.2019,244782644,,
18.06.2019,226397263,,
19.06.2019,208868726,,
20.06.2019,223859028,,
21.06.2019,248046818,,
22.06.2019,241491605,,
23.06.2019,227763588,,
24.06.2019,202889638,,
25.06.2019,198262371,,
26.06.2019,195859025,,
27.06.2019,212925659,,
28.06.2019,218675918,,
29.06.2019,196068773,,
30.06.2019,181869949,,
01.07.2019,197756186,,
02.07.2019,225231763,,
03.07.2019,241275361,,
04.07.2019,258759155,,
05.07.2019,242029480,,
06.07.2019,231857414,,
07.07.2019,272955537,,
08.07.2019,314289659,,
09.07.2019,331492058,,
10.07.2019,297056429,,
11.07.2019,286747425,,
12.07.2019,271999228,,
13.07.2019,282607372,,
14.07.2019,305755919,,
15.07.2019,320610700,,
16.07.2019,331723520,,
17.07.2019,292216993,,
18.07.2019,254815304,,
19.07.2019,228152286,,
20.07.2019,221519649,,
21.07.2019,220513732,,
22.07.2019,213365434,,
23.07.2019,198739087,,
24.07.2019,186069826,,
25.07.2019,175795881,,
26.07.2019,178184522,,
27.07.2019,172800256,,
28.07.2019,189683032,,
29.07.2019,198262991,,
30.07.2019,197691203,,
31.07.2019,206448276,,
01.08.2019,209874415,,
02.08.2019,208556301,,
03.08.2019,218179935,,
04.08.2019,212676180,,
05.08.2019,208406072,,
06.08.2019,204442982,,
07.08.2019,222036265,,
08.08.2019,218390619,,
09.08.2019,212444211,,
10.08.2019,206873737,,
11.08.2019,214096360,,
12.08.2019,231314878,,
13.08.2019,271974461,,
14.08.2019,274801378,,
15.08.2019,274507745,,
16.08.2019,259611586,,
17.08.2019,245509581,,
18.08.2019,251652285,,
19.08.2019,248368339,,
20.08.2019,277295797,,
21.08.2019,282377685,,
22.08.2019,261292267,,
23.08.2019,245533150,,
24.08.2019,219086124,,
25.08.2019,201149197,,
26.08.2019,196894129,,
27.08.2019,197859163,,
28.08.2019,189189704,,
29.08.2019,201139062,,
30.08.2019,205656172,,
31.08.2019,193874342,,
01.09.2019,210302473,,
02.09.2019,253558783,,
03.09.2019,281627726,,
04.09.2019,270433000,,
05.09.2019,327004831,,
06.09.2019,353667932,,
07.09.2019,371767852,,
08.09.2019,425806381,,
09.09.2019,477258327,,
10.09.2019,476624157,,
11.09.2019,431019296,,
12.09.2019,355167131,,
13.09.2019,348703370,,
14.09.2019,375139875,,
15.09.2019,367669235,,
16.09.2019,407495243,,
17.09.2019,497561316,,
18.09.2019,582693734,,
19.09.2019,638388679,,
20.09.2019,639649447,,
21.09.2019,534639861,,
22.09.2019,444390562,,
23.09.2019,474894157,,
24.09.2019,478428080,,
25.09.2019,497426475,,
26.09.2019,500171514,,
27.09.2019,495496592,,
28.09.2019,521291222,,
29.09.2019,548337513,,
30.09.2019,584657108,,
01.10.2019,619903727,,
02.10.2019,757767232,,
03.10.2019,856533871,,
