"Date","Daylight"
2018-01-01,481.791940345703
2018-01-02,482.957406387165
2018-01-03,484.220151619658
2018-01-04,485.578703550965
2018-01-05,487.031497527387
2018-01-06,488.576883230579
2018-01-07,490.213131362239
2018-01-08,491.938440464094
2018-01-09,493.750943821965
2018-01-10,495.648716404439
2018-01-11,497.62978178902
2018-01-12,499.692119031332
2018-01-13,501.833669436082
2018-01-14,504.052343191842
2018-01-15,506.3460258353
2018-01-16,508.712584514321
2018-01-17,511.149874022976
2018-01-18,513.655742585422
2018-01-19,516.228037369296
2018-01-20,518.864609712877
2018-01-21,521.563320053759
2018-01-22,524.322042550103
2018-01-23,527.138669388606
2018-01-24,530.011114776227
2018-01-25,532.937318615323
2018-01-26,535.915249864254
2018-01-27,538.942909587635
2018-01-28,542.018333702291
2018-01-29,545.139595426621
2018-01-30,548.304807442467
2018-01-31,551.512123779727
2018-02-01,554.759741434942
2018-02-02,558.045901735818
2018-02-03,561.368891464172
2018-02-04,564.727043750259
2018-02-05,568.118738751595
2018-02-06,571.542404129548
2018-02-07,574.9965153369
2018-02-08,578.479595729509
2018-02-09,581.990216514879
2018-02-10,585.526996550278
2018-02-11,589.088602002534
2018-02-12,592.673745881305
2018-02-13,596.281187457119
2018-02-14,599.909731574979
2018-02-15,603.558227873784
2018-02-16,607.225569921309
2018-02-17,610.910694273886
2018-02-18,614.612579469404
2018-02-19,618.33024496166
2018-02-20,622.062750003562
2018-02-21,625.80919248613
2018-02-22,629.568707739701
2018-02-23,633.340467303258
2018-02-24,637.123677667268
2018-02-25,640.917578994989
2018-02-26,644.721443826674
2018-02-27,648.534575770737
2018-02-28,652.356308185503
2018-03-01,656.186002854766
2018-03-02,660.023048660016
2018-03-03,663.866860251856
2018-03-04,667.716876722823
2018-03-05,671.572560283472
2018-03-06,675.433394943363
2018-03-07,679.298885198294
2018-03-08,683.168554724898
2018-03-09,687.041945083492
2018-03-10,690.918614429866
2018-03-11,694.798136236536
2018-03-12,698.680098023773
2018-03-13,702.564100100619
2018-03-14,706.449754315938
2018-03-15,710.336682819413
2018-03-16,714.224516832355
2018-03-17,718.112895428017
2018-03-18,722.001464321081
2018-03-19,725.889874665909
2018-03-20,729.777781863082
2018-03-21,733.664844373703
2018-03-22,737.55072254093
2018-03-23,741.435077418164
2018-03-24,745.317569603291
2018-03-25,749.197858078432
2018-03-26,753.075599054593
2018-03-27,756.950444820654
2018-03-28,760.8220425962
2018-03-29,764.690033387665
2018-03-30,768.554050847368
2018-03-31,772.413720135037
2018-04-01,776.268656781518
2018-04-02,780.118465554407
2018-04-03,783.96273932546
2018-04-04,787.801057939723
2018-04-05,791.632987086434
2018-04-06,795.458077171853
2018-04-07,799.275862194355
2018-04-08,803.085858622185
2018-04-09,806.887564274521
2018-04-10,810.680457206575
2018-04-11,814.463994599694
2018-04-12,818.237611657608
2018-04-13,822.000720510143
2018-04-14,825.752709125984
2018-04-15,829.492940236284
2018-04-16,833.220750271147
2018-04-17,836.935448311294
2018-04-18,840.636315057503
2018-04-19,844.322601820667
2018-04-20,847.993529535654
2018-04-21,851.648287802449
2018-04-22,855.286033958374
2018-04-23,858.905892185554
2018-04-24,862.506952658108
2018-04-25,866.08827073393
2018-04-26,869.648866196284
2018-04-27,873.187722550791
2018-04-28,876.703786383791
2018-04-29,880.195966788407
2018-04-30,883.663134865047
2018-05-01,887.104123303396
2018-05-02,890.517726053351
2018-05-03,893.902698092679
2018-05-04,897.257755299468
2018-05-05,900.581574437794
2018-05-06,903.872793265218
2018-05-07,907.130010770997
2018-05-08,910.351787554052
2018-05-09,913.536646349829
2018-05-10,916.683072715291
2018-05-11,919.789515881184
2018-05-12,922.854389780696
2018-05-13,925.876074263352
2018-05-14,928.852916502733
2018-05-15,931.783232606168
2018-05-16,934.665309434013
2018-05-17,937.49740663542
2018-05-18,940.277758906738
2018-05-19,943.004578477666
2018-05-20,945.676057829152
2018-05-21,948.290372645758
2018-05-22,950.845685003714
2018-05-23,953.340146794313
2018-05-24,955.771903380387
2018-05-25,958.139097481795
2018-05-26,960.439873283579
2018-05-27,962.672380758347
2018-05-28,964.834780191879
2018-05-29,966.925246898658
2018-05-30,968.941976111283
2018-05-31,970.883188025265
2018-06-01,972.747132977901
2018-06-02,974.532096737495
2018-06-03,976.236405876501
2018-06-04,977.858433199816
2018-06-05,979.396603197132
2018-06-06,980.84939748625
2018-06-07,982.215360212358
2018-06-08,983.493103366891
2018-06-09,984.681311988369
2018-06-10,985.778749206916
2018-06-11,986.784261093852
2018-06-12,987.696781277924
2018-06-13,988.515335290446
2018-06-14,989.23904460274
2018-06-15,989.867130321069
2018-06-16,990.398916506408
2018-06-17,990.833833089133
2018-06-18,991.171418351913
2018-06-19,991.411320957699
2018-06-20,991.553301503702
2018-06-21,991.597233586557
2018-06-22,991.543104368447
2018-06-23,991.391014638722
2018-06-24,991.141178370303
2018-06-25,990.793921775145
2018-06-26,990.349681867652
2018-06-27,989.809004549701
2018-06-28,989.17254223523
2018-06-29,988.441051036494
2018-06-30,987.615387537833
2018-07-01,986.696505186053
2018-07-02,985.685450329463
2018-07-03,984.583357939925
2018-07-04,983.391447054129
2018-07-05,982.111015971683
2018-07-06,980.74343724838
2018-07-07,979.290152523323
2018-07-08,977.752667218463
2018-07-09,976.132545148402
2018-07-10,974.431403077351
2018-07-11,972.650905258683
2018-07-12,970.792757990777
2018-07-13,968.858704220892
2018-07-14,966.850518226483
2018-07-15,964.770000401069
2018-07-16,962.618972169168
2018-07-17,960.399271052177
2018-07-18,958.112745904512
2018-07-19,955.761252336603
2018-07-20,953.346648338775
2018-07-21,950.870790117553
2018-07-22,948.335528153393
2018-07-23,945.742703486706
2018-07-24,943.094144236696
2018-07-25,940.39166235566
2018-07-26,937.637050619468
2018-07-27,934.832079853297
2018-07-28,931.978496390152
2018-07-29,929.078019758409
2018-07-30,926.132340593366
2018-07-31,923.143118766842
2018-08-01,920.111981728002
2018-08-02,917.040523047783
2018-08-03,913.930301158858
2018-08-04,910.782838282512
2018-08-05,907.599619533539
2018-08-06,904.382092194032
2018-08-07,901.13166514679
2018-08-08,897.849708459072
2018-08-09,894.537553107428
2018-08-10,891.196490834464
2018-08-11,887.827774128564
2018-08-12,884.432616317772
2018-08-13,881.012191769363
2018-08-14,877.567636186841
2018-08-15,874.100046996472
2018-08-16,870.610483815804
2018-08-17,867.099968996937
2018-08-18,863.569488237713
2018-08-19,860.019991254365
2018-08-20,856.45239250954
2018-08-21,852.867571989954
2018-08-22,849.266376028379
2018-08-23,845.649618164981
2018-08-24,842.018080043395
2018-08-25,838.372512337283
2018-08-26,834.713635703512
2018-08-27,831.042141758275
2018-08-28,827.358694073007
2018-08-29,823.663929187051
2018-08-30,819.958457634473
2018-08-31,816.242864982586
2018-09-01,812.517712880106
2018-09-02,808.783540113049
2018-09-03,805.040863666732
2018-09-04,801.290179792459
2018-09-05,797.531965077726
2018-09-06,793.766677518881
2018-09-07,789.994757595461
2018-09-08,786.216629345547
2018-09-09,782.43270144161
2018-09-10,778.643368266559
2018-09-11,774.849010989728
2018-09-12,771.049998642742
2018-09-13,767.246689195308
2018-09-14,763.43943063103
2018-09-15,759.628562023506
2018-09-16,755.814414613014
2018-09-17,751.997312884176
2018-09-18,748.177575645064
2018-09-19,744.355517108255
2018-09-20,740.53144797442
2018-09-21,736.705676519028
2018-09-22,732.878509682831
2018-09-23,729.050254166775
2018-09-24,725.221217532022
2018-09-25,721.391709305774
2018-09-26,717.562042093577
2018-09-27,713.732532698779
2018-09-28,709.9035032498
2018-09-29,706.075282335832
2018-09-30,702.248206151562
2018-10-01,698.422619651448
2018-10-02,694.598877714034
2018-10-03,690.777346316691
2018-10-04,686.958403721148
2018-10-05,683.142441669992
2018-10-06,679.329866594306
2018-10-07,675.521100832423
2018-10-08,671.716583859674
2018-10-09,667.916773528851
2018-10-10,664.122147320942
2018-10-11,660.333203605501
2018-10-12,656.550462909854
2018-10-13,652.774469196074
2018-10-14,649.00579114447
2018-10-15,645.245023442052
2018-10-16,641.492788074175
2018-10-17,637.749735617269
2018-10-18,634.016546530209
2018-10-19,630.293932441622
2018-10-20,626.582637429973
2018-10-21,622.883439292943
2018-10-22,619.197150802216
2018-10-23,615.524620939301
2018-10-24,611.866736107637
2018-10-25,608.22442131572
2018-10-26,604.598641325488
2018-10-27,600.990401759722
2018-10-28,597.40075016167
2018-10-29,593.830776999566
2018-10-30,590.281616608174
2018-10-31,586.754448058898
2018-11-01,583.250495949483
2018-11-02,579.771031103716
2018-11-03,576.317371171026
2018-11-04,572.890881115323
2018-11-05,569.492973581903
2018-11-06,566.125109130759
2018-11-07,562.788796324194
2018-11-08,559.485591656244
2018-11-09,556.217099311073
2018-11-10,552.984970737254
2018-11-11,549.790904024703
2018-11-12,546.636643070914
2018-11-13,543.523976523261
2018-11-14,540.454736484293
2018-11-15,537.430796967254
2018-11-16,534.454072089644
2018-11-17,531.526513993246
2018-11-18,528.650110479982
2018-11-19,525.82688235402
2018-11-20,523.058880461931
2018-11-21,520.348182424209
2018-11-22,517.696889053292
2018-11-23,515.107120455309
2018-11-24,512.581011815063
2018-11-25,510.120708866338
2018-11-26,507.728363052438
2018-11-27,505.406126384926
2018-11-28,503.156146011751
2018-11-29,500.980558509446
2018-11-30,498.881483917642
2018-12-01,496.861019537901
2018-12-02,494.921233522602
2018-12-03,493.064158283483
2018-12-04,491.29178375313
2018-12-05,489.606050536374
2018-12-06,488.008842992018
2018-12-07,486.501982288494
2018-12-08,485.087219479919
2018-12-09,483.766228651459
2018-12-10,482.540600184892
2018-12-11,481.411834196642
2018-12-12,480.38133420135
2018-12-13,479.450401054173
2018-12-14,478.620227224355
2018-12-15,477.891891451318
2018-12-16,477.266353832356
2018-12-17,476.744451388145
2018-12-18,476.326894148708
2018-12-19,476.014261798096
2018-12-20,475.807000911123
2018-12-21,475.70542280993
2018-12-22,475.709702062149
2018-12-23,475.819875635986
2018-12-24,476.035842720886
2018-12-25,476.357365215583
2018-12-26,476.784068878473
2018-12-27,477.315445128428
2018-12-28,477.950853477664
2018-12-29,478.689524571973
2018-12-30,479.530563807871
2018-12-31,480.47295549093
2019-01-01,481.53742456064
2019-01-02,482.678892590278
2019-01-03,483.917978208963
2019-01-04,485.253232504415
2019-01-05,486.683112858272
2019-01-06,488.20598938841
2019-01-07,489.820151592004
2019-01-08,491.523815136635
2019-01-09,493.315128747825
2019-01-10,495.192181143062
2019-01-11,497.153007964592
2019-01-12,499.195598665832
2019-01-13,501.317903309356
