"Date","Cloud"
2018-08-21,42.91524
2018-08-22,29.761301
2018-08-23,43.768898
2018-08-24,83.704285
2018-08-25,71.2544
2018-08-26,64.96974
2018-08-27,73.185776
2018-08-28,45.39887
2018-08-29,54.741516
2018-08-30,81.96349
2018-08-31,82.498276
2018-09-01,64.343254
2018-09-02,72.52224
2018-09-03,70.49727
2018-09-04,53.32557
2018-09-05,40.564247
2018-09-06,66.8197
2018-09-07,63.869713
2018-09-08,50.98506
2018-09-09,51.23575
2018-09-10,81.938805
2018-09-11,71.260574
2018-09-12,44.40423
2018-09-13,79.767075
2018-09-14,72.56742
2018-09-15,55.905926
2018-09-16,64.63786
2018-09-17,52.779663
2018-09-18,24.238825
2018-09-19,28.878632
2018-09-20,44.88558
2018-09-21,72.46296
2018-09-22,79.23255
2018-09-23,91.26789
2018-09-24,44.585236
2018-09-25,43.197624
2018-09-26,68.640724
2018-09-27,26.438066
2018-09-28,47.799267
2018-09-29,47.666904
2018-09-30,20.81026
2018-10-01,67.245544
2018-10-02,82.70111
2018-10-03,69.88513
2018-10-04,50.29684
2018-10-05,10.722869
2018-10-06,52.80904
2018-10-07,63.030445
2018-10-08,68.63207
2018-10-09,73.24372
2018-10-10,22.511496
2018-10-11,20.539871
2018-10-12,21.865168
2018-10-13,7.1477056
2018-10-14,1.9809452
2018-10-15,14.408633
2018-10-16,25.56018
2018-10-17,41.33715
2018-10-18,59.053555
2018-10-19,63.450966
2018-10-20,62.428886
2018-10-21,45.99522
2018-10-22,56.498688
2018-10-23,94.83092
2018-10-24,89.47719
2018-10-25,86.903595
2018-10-26,86.49641
2018-10-27,85.45188
2018-10-28,90.42052
2018-10-29,98.130974
2018-10-30,78.34322
2018-10-31,61.32499
2018-11-01,69.08052
2018-11-02,62.189304
2018-11-03,57.07211
2018-11-04,75.965996
2018-11-05,70.529945
2018-11-06,53.119102
2018-11-07,40.419353
2018-11-08,75.496376
2018-11-09,86.459175
2018-11-10,83.20552
2018-11-11,72.00164
2018-11-12,68.32644
2018-11-13,67.259895
2018-11-14,74.48704
2018-11-15,51.189537
2018-11-16,16.762878
2018-11-17,13.740458
2018-11-18,45.53406
2018-11-19,76.2599
2018-11-20,77.14964
2018-11-21,84.712494
2018-11-22,76.68418
2018-11-23,70.24934
2018-11-24,91.49201
2018-11-25,91.11728
2018-11-26,97.266945
2018-11-27,90.92758
2018-11-28,75.8745
2018-11-29,95.03425
2018-11-30,93.20001
2018-12-01,87.7384
2018-12-02,97.42144
2018-12-03,87.53852
2018-12-04,51.32549
2018-12-05,71.94494
2018-12-06,98.30939
2018-12-07,95.140785
2018-12-08,80.763306
2018-12-09,85.5131
2018-12-10,63.29106
2018-12-11,67.38787
2018-12-12,73.85808
2018-12-13,72.51129
2018-12-14,77.05101
2018-12-15,75.856026
2018-12-16,93.61333
2018-12-17,93.68209
2018-12-18,80.786156
2018-12-19,94.04005
2018-12-20,90.60394
2018-12-21,97.09589
2018-12-22,92.11929
