"date","wind_speed_sum","temperature_air_mean_200_sum","temperature_air_min_200_sum","temperature_air_max_200_sum","celctemp","hdd16"
2018-01-01,6.1492159657876,279.411765604317,276.640489766826,282.235306995214,7.2617656043173,8.7382343956827
2018-01-02,4.88570919458304,277.577084818247,276.085500458202,279.010844109561,5.42708481824661,10.5729151817534
2018-01-03,8.45634354953671,279.074971998778,276.781004989309,282.32049689441,6.92497199877812,9.07502800122188
2018-01-04,5.81154668567356,279.721184197129,277.880083494552,282.523999592709,7.57118419712862,8.42881580287138
2018-01-05,5.02582221769677,279.880638427859,277.695860910294,281.668465533041,7.73063842785871,8.26936157214129
2018-01-06,2.5840036656145,278.164051522248,275.641406170451,280.186783423277,6.01405152224822,9.98594847775178
2018-01-07,4.72699826901538,275.077817941147,273.045636900519,277.109668058243,2.92781794114654,13.0721820588535
2018-01-08,5.2091793096426,274.538280215864,272.916077792485,276.684517869871,2.38828021586397,13.611719784136
2018-01-09,4.03982282863252,276.312009978617,273.429559108034,279.103125954587,4.16200997861728,11.8379900213827
2018-01-10,2.47450870583444,277.579884940434,274.964250076367,280.889216984014,5.42988494043374,10.5701150595663
2018-01-11,1.49807046125649,276.300952041544,274.103008858568,278.715156297729,4.15095204154363,11.8490479584564
2018-01-12,2.10346196924957,275.910243356074,274.783280724977,276.972416250891,3.76024335607372,12.2397566439263
2018-01-13,3.84839629365645,275.238707870889,273.16303838713,276.655722431524,3.08870787088892,12.9112921291111
2018-01-14,4.2080134405865,273.424630892984,271.410416454536,275.157616332349,1.27463089298442,14.7253691070156
2018-01-15,5.55475511658691,274.950229100906,271.374905814072,278.040403217595,2.80022910090622,13.1997708990938
2018-01-16,5.8943793911007,276.775771306384,273.947770084513,278.99343753182,4.62577130638431,11.3742286936157
2018-01-17,5.88741472355157,274.562279808573,272.981534466959,276.102448834131,2.41227980857349,13.5877201914265
2018-01-18,7.48867223297017,276.455987170349,273.612814377355,280.306918847368,4.30598717034928,11.6940128296507
2018-01-19,3.79656348640668,274.937720191427,273.055976988087,276.966744730679,2.78772019142656,13.2122798085734
2018-01-20,3.19226148050097,274.284986253946,272.788443132064,275.841894919051,2.13498625394567,13.8650137460543
2018-01-21,2.5963802056817,273.789659912433,271.976361877609,275.372701354241,1.63965991243253,14.3603400875675
2018-01-22,3.6076316057428,275.543590265757,272.883143264433,278.177695753996,3.39359026575704,12.606409734243
2018-01-23,4.05161388860605,278.155396599124,276.24286732512,280.435495367071,6.00539659912437,9.99460340087563
2018-01-24,5.80836981977395,281.863949699623,279.093167701863,284.670165970879,9.71394969962324,6.28605030037676
2018-01-25,3.63003767437125,280.563628958355,278.255595153243,283.197917727319,8.41362895835454,7.58637104164546
2018-01-26,1.84731188270034,278.382898890133,276.01727929946,280.4965787598,6.23289889013341,9.76710110986659
2018-01-27,3.00809489868649,277.478123409021,275.42815904694,279.521886773241,5.32812340902149,10.6718765909785
2018-01-28,6.34013847876998,279.851196415844,277.065212300173,281.863471133286,7.70119641584358,8.29880358415642
2018-01-29,7.08311780877711,281.106613379493,278.079172182059,282.645305976988,8.95661337949292,7.04338662050708
2018-01-30,3.93986355768252,277.52583749109,274.51087974748,279.926621525303,5.37583749109052,10.6241625089095
2018-01-31,5.47218714998473,278.702464107525,274.633718562265,281.753711434681,6.55246410752471,9.44753589247529
2018-02-01,4.67594440484676,275.626942266572,273.478225231646,277.793401893901,3.47694226657165,12.5230577334283
2018-02-02,4.11937684553508,275.180353324509,273.007901435699,276.767274208329,3.03035332450872,12.9696466754913
2018-02-03,2.77238570410345,274.027410650647,272.074788718053,275.759545871093,1.8774106506466,14.1225893493534
2018-02-04,3.04196110375725,272.262412177986,270.250585480094,274.133957845433,0.112412177985959,15.887587822014
2018-02-05,3.77200386925975,271.883917116383,269.07665207209,274.274539252622,-0.266082883616718,16.2660828836167
2018-02-06,2.71439262804195,270.507117401487,267.653563791875,273.414087160167,-1.64288259851338,17.6428825985134
2018-02-07,2.19856939211893,270.804240912331,267.529671112921,273.796370023419,-1.34575908766925,17.3457590876693
2018-02-08,1.56175033092353,270.223913043478,266.744532125038,273.793264433357,-1.92608695652171,17.9260869565217
2018-02-09,2.69082578148865,271.16956012626,267.89270440892,273.927145911822,-0.980439873739897,16.9804398737399
2018-02-10,2.79389064250076,273.159550962224,271.073358110172,275.124742897872,1.00955096222384,14.9904490377762
2018-02-11,5.33041950921495,274.724579981672,272.773256287547,276.936727420833,2.57457998167195,13.4254200183281
2018-02-12,4.20572752265553,273.808522553711,271.060579370736,276.5960900112,1.65852255371146,14.3414774462885
2018-02-13,3.22499236330313,272.827283372365,269.356496283474,276.825129823847,0.677283372365366,15.3227166276346
2018-02-14,3.30156297729355,272.079192546584,267.459866612361,276.569529579473,-0.0708074534161369,16.0708074534161
2018-02-15,4.45328887078709,273.679879849302,270.635424091233,276.436157214133,1.52987984930252,14.4701201506975
2018-02-16,2.93094898686488,275.522884634966,271.891258527645,279.29021993687,3.37288463496589,12.6271153650341
2018-02-17,2.19640566133795,273.421387842379,270.546868954282,276.440158843295,1.2713878423786,14.7286121576214
2018-02-18,2.20306995214337,273.337521637308,269.614005702067,277.224722533347,1.18752163730778,14.8124783626922
2018-02-19,1.92650442928419,273.049923633031,270.308710925568,276.119331025354,0.899923633031278,15.1000763669687
2018-02-20,2.26792587312901,272.473750127278,269.252917218206,275.791945830363,0.323750127278288,15.6762498727217
2018-02-21,3.13975155279503,272.036915792689,268.824228693616,275.8031768659,-0.113084207310862,16.1130842073109
