"Territory","SHORTNAME","ISO3","Date","HDD18"
"Germany","GERMANY","DEU",2018-04-16,5.27277183532715
"Germany","GERMANY","DEU",2018-04-17,4.47186326980591
"Germany","GERMANY","DEU",2018-04-18,1.98204588890076
"Germany","GERMANY","DEU",2018-04-19,0.718493103981018
"Germany","GERMANY","DEU",2018-04-20,0.240695685148239
"Germany","GERMANY","DEU",2018-04-21,1.3821165561676
"Germany","GERMANY","DEU",2018-04-22,0.985466837882996
"Germany","GERMANY","DEU",2018-04-23,2.54846286773682
"Germany","GERMANY","DEU",2018-04-24,5.06243705749512
"Germany","GERMANY","DEU",2018-04-25,4.94161701202393
"Germany","GERMANY","DEU",2018-04-26,8.50914192199707
"Germany","GERMANY","DEU",2018-04-27,6.66323232650757
"Germany","GERMANY","DEU",2018-04-28,4.50284004211426
"Germany","GERMANY","DEU",2018-04-29,2.346834897995
"Germany","GERMANY","DEU",2018-04-30,4.59747314453125
"Germany","GERMANY","DEU",2018-05-01,8.71830558776855
"Germany","GERMANY","DEU",2018-05-02,7.27121925354004
"Germany","GERMANY","DEU",2018-05-03,5.71054077148438
"Germany","GERMANY","DEU",2018-05-04,5.18082237243652
"Germany","GERMANY","DEU",2018-05-05,3.47883749008179
"Germany","GERMANY","DEU",2018-05-06,1.83873689174652
"Germany","GERMANY","DEU",2018-05-07,0.965052723884582
"Germany","GERMANY","DEU",2018-05-08,0.329034447669983
"Germany","GERMANY","DEU",2018-05-09,0.514200389385223
"Germany","GERMANY","DEU",2018-05-10,3.17279481887817
"Germany","GERMANY","DEU",2018-05-11,4.05684900283813
"Germany","GERMANY","DEU",2018-05-12,0.822045385837555
"Germany","GERMANY","DEU",2018-05-13,1.60666561126709
"Germany","GERMANY","DEU",2018-05-14,1.35382878780365
"Germany","GERMANY","DEU",2018-05-15,2.57377457618713
"Germany","GERMANY","DEU",2018-05-16,3.91794466972351
"Germany","GERMANY","DEU",2018-05-17,5.27818632125854
"Germany","GERMANY","DEU",2018-05-18,6.18218278884888
"Germany","GERMANY","DEU",2018-05-19,5.17754459381104
"Germany","GERMANY","DEU",2018-05-20,2.81941246986389
"Germany","GERMANY","DEU",2018-05-21,0.792420148849487
"Germany","GERMANY","DEU",2018-05-22,0.732252836227417
"Germany","GERMANY","DEU",2018-05-23,0.544061124324799
"Germany","GERMANY","DEU",2018-05-24,0.915525913238525
"Germany","GERMANY","DEU",2018-05-25,0.302146255970001
"Germany","GERMANY","DEU",2018-05-26,0.057852391153574
"Germany","GERMANY","DEU",2018-05-27,0.0615606941282749
"Germany","GERMANY","DEU",2018-05-28,0.00487814424559474
"Germany","GERMANY","DEU",2018-05-29,0.010530018247664
"Germany","GERMANY","DEU",2018-05-30,0.00517154950648546
"Germany","GERMANY","DEU",2018-05-31,0.0116745857521892
"Germany","GERMANY","DEU",2018-06-01,0.133877888321877
"Germany","GERMANY","DEU",2018-06-02,0.248061954975128
"Germany","GERMANY","DEU",2018-06-03,0.0431315079331398
"Germany","GERMANY","DEU",2018-06-04,0.169056311249733
"Germany","GERMANY","DEU",2018-06-05,0.331695854663849
"Germany","GERMANY","DEU",2018-06-06,0.0582968033850193
"Germany","GERMANY","DEU",2018-06-07,0.0182596128433943
"Germany","GERMANY","DEU",2018-06-08,0.0195468999445438
"Germany","GERMANY","DEU",2018-06-09,0.00786662474274635
"Germany","GERMANY","DEU",2018-06-10,0.0107312174513936
"Germany","GERMANY","DEU",2018-06-11,0.292789727449417
"Germany","GERMANY","DEU",2018-06-12,2.10344195365906
"Germany","GERMANY","DEU",2018-06-13,4.1035475730896
"Germany","GERMANY","DEU",2018-06-14,2.71259069442749
"Germany","GERMANY","DEU",2018-06-15,0.811637461185455
"Germany","GERMANY","DEU",2018-06-16,0.0801872760057449
"Germany","GERMANY","DEU",2018-06-17,0.750958263874054
"Germany","GERMANY","DEU",2018-06-18,0.536703526973724
"Germany","GERMANY","DEU",2018-06-19,0.195355102419853
"Germany","GERMANY","DEU",2018-06-20,0.00291433301754295
"Germany","GERMANY","DEU",2018-06-21,1.58321988582611
"Germany","GERMANY","DEU",2018-06-22,5.6641092300415
"Germany","GERMANY","DEU",2018-06-23,5.11275768280029
"Germany","GERMANY","DEU",2018-06-24,4.05889320373535
"Germany","GERMANY","DEU",2018-06-25,2.38117718696594
"Germany","GERMANY","DEU",2018-06-26,1.61734092235565
"Germany","GERMANY","DEU",2018-06-27,0.430448085069656
"Germany","GERMANY","DEU",2018-06-28,0.617838025093079
"Germany","GERMANY","DEU",2018-06-29,0.0823026522994041
"Germany","GERMANY","DEU",2018-06-30,0.251934975385666
"Germany","GERMANY","DEU",2018-07-01,0.733601093292236
"Germany","GERMANY","DEU",2018-07-02,0.413374662399292
"Germany","GERMANY","DEU",2018-07-03,0.0868664756417274
"Germany","GERMANY","DEU",2018-07-04,0.0823395773768425
"Germany","GERMANY","DEU",2018-07-05,0.181040868163109
"Germany","GERMANY","DEU",2018-07-06,0.326853007078171
"Germany","GERMANY","DEU",2018-07-07,0.330836534500122
"Germany","GERMANY","DEU",2018-07-08,0.160213351249695
"Germany","GERMANY","DEU",2018-07-09,0.514778554439545
"Germany","GERMANY","DEU",2018-07-10,2.36259317398071
"Germany","GERMANY","DEU",2018-07-11,2.38601660728455
"Germany","GERMANY","DEU",2018-07-12,0.572255551815033
"Germany","GERMANY","DEU",2018-07-13,0.0790664777159691
"Germany","GERMANY","DEU",2018-07-14,0.262742608785629
"Germany","GERMANY","DEU",2018-07-15,0.0336728692054748
"Germany","GERMANY","DEU",2018-07-16,0.0214188117533922
"Germany","GERMANY","DEU",2018-07-17,0.0154033908620477
"Germany","GERMANY","DEU",2018-07-18,0.00392859149724245
"Germany","GERMANY","DEU",2018-07-19,0.00704815424978733
"Germany","GERMANY","DEU",2018-07-20,0.00160662271082401
"Germany","GERMANY","DEU",2018-07-21,0.091467097401619
"Germany","GERMANY","DEU",2018-07-22,0.149649679660797
"Germany","GERMANY","DEU",2018-07-23,0.0174970012158155
"Germany","GERMANY","DEU",2018-07-24,0.00100227061193436
"Germany","GERMANY","DEU",2018-07-25,0.00091946689644828
"Germany","GERMANY","DEU",2018-07-26,0.0008222657488659
"Germany","GERMANY","DEU",2018-07-27,0.00053585023852065
"Germany","GERMANY","DEU",2018-07-28,0.00081289134686812
"Germany","GERMANY","DEU",2018-07-29,0.00037479554885067
"Germany","GERMANY","DEU",2018-07-30,0
"Germany","GERMANY","DEU",2018-07-31,0
"Germany","GERMANY","DEU",2018-08-01,0
"Germany","GERMANY","DEU",2018-08-02,0.00048735362361185
"Germany","GERMANY","DEU",2018-08-03,0
"Germany","GERMANY","DEU",2018-08-04,0
"Germany","GERMANY","DEU",2018-08-05,0
"Germany","GERMANY","DEU",2018-08-06,9.19826052268036e-05
"Germany","GERMANY","DEU",2018-08-07,0.00041609679465182
"Germany","GERMANY","DEU",2018-08-08,0.00043886061757802
"Germany","GERMANY","DEU",2018-08-09,0.00119304656982421
"Germany","GERMANY","DEU",2018-08-10,0.336514562368393
"Germany","GERMANY","DEU",2018-08-11,0.960961103439331
"Germany","GERMANY","DEU",2018-08-12,0.0809170976281166
"Germany","GERMANY","DEU",2018-08-13,0.0910206735134125
"Germany","GERMANY","DEU",2018-08-14,0.109682902693748
"Germany","GERMANY","DEU",2018-08-15,0.0503828339278698
"Germany","GERMANY","DEU",2018-08-16,0.00736504048109054
"Germany","GERMANY","DEU",2018-08-17,0.0729563608765602
"Germany","GERMANY","DEU",2018-08-18,0.0420004576444626
"Germany","GERMANY","DEU",2018-08-19,0.00089616753393784
"Germany","GERMANY","DEU",2018-08-20,0.00241693505086004
"Germany","GERMANY","DEU",2018-08-21,0.035862784832716
"Germany","GERMANY","DEU",2018-08-22,0.00071668805321678
"Germany","GERMANY","DEU",2018-08-23,0.00263547990471124
"Germany","GERMANY","DEU",2018-08-24,0.745685219764709
"Germany","GERMANY","DEU",2018-08-25,4.77748584747314
"Germany","GERMANY","DEU",2018-08-26,4.40652513504028
"Germany","GERMANY","DEU",2018-08-27,1.61723732948303
"Germany","GERMANY","DEU",2018-08-28,0.507310211658478
"Germany","GERMANY","DEU",2018-08-29,0.0228915587067604
"Germany","GERMANY","DEU",2018-08-30,1.69241559505463
"Germany","GERMANY","DEU",2018-08-31,3.72647023200989
"Germany","GERMANY","DEU",2018-09-01,3.43213319778442
"Germany","GERMANY","DEU",2018-09-02,2.36171317100525
"Germany","GERMANY","DEU",2018-09-03,0.919822573661804
"Germany","GERMANY","DEU",2018-09-04,0.400207579135895
"Germany","GERMANY","DEU",2018-09-05,0.179333373904228
"Germany","GERMANY","DEU",2018-09-06,0.261992573738098
"Germany","GERMANY","DEU",2018-09-07,1.94666182994843
"Germany","GERMANY","DEU",2018-09-08,2.95328998565674
"Germany","GERMANY","DEU",2018-09-09,0.999497592449188
"Germany","GERMANY","DEU",2018-09-10,0.280064076185226
"Germany","GERMANY","DEU",2018-09-11,0.0598532482981682
"Germany","GERMANY","DEU",2018-09-12,0.609390139579773
"Germany","GERMANY","DEU",2018-09-13,2.70190000534058
"Germany","GERMANY","DEU",2018-09-14,2.97404742240906
"Germany","GERMANY","DEU",2018-09-15,3.07562351226807
"Germany","GERMANY","DEU",2018-09-16,2.44520711898804
"Germany","GERMANY","DEU",2018-09-17,0.525895178318024
"Germany","GERMANY","DEU",2018-09-18,0.0171896014362574
"Germany","GERMANY","DEU",2018-09-19,0.020244549959898
"Germany","GERMANY","DEU",2018-09-20,0.0215563960373402
"Germany","GERMANY","DEU",2018-09-21,0.99365109205246
"Germany","GERMANY","DEU",2018-09-22,5.65445423126221
"Germany","GERMANY","DEU",2018-09-23,6.01060819625854
"Germany","GERMANY","DEU",2018-09-24,8.8689022064209
"Germany","GERMANY","DEU",2018-09-25,9.68400955200195
"Germany","GERMANY","DEU",2018-09-26,7.40810441970825
"Germany","GERMANY","DEU",2018-09-27,3.56544137001038
"Germany","GERMANY","DEU",2018-09-28,6.15486240386963
"Germany","GERMANY","DEU",2018-09-29,8.94140148162842
"Germany","GERMANY","DEU",2018-09-30,7.80333757400513
"Germany","GERMANY","DEU",2018-10-01,9.11510848999023
"Germany","GERMANY","DEU",2018-10-02,9.82808589935303
"Germany","GERMANY","DEU",2018-10-03,6.9334077835083
"Germany","GERMANY","DEU",2018-10-04,7.01809787750244
"Germany","GERMANY","DEU",2018-10-05,4.99748849868774
"Germany","GERMANY","DEU",2018-10-06,3.12397289276123
"Germany","GERMANY","DEU",2018-10-07,5.96485948562622
"Germany","GERMANY","DEU",2018-10-08,7.5015721321106
"Germany","GERMANY","DEU",2018-10-09,5.66072273254395
"Germany","GERMANY","DEU",2018-10-10,3.54611086845398
"Germany","GERMANY","DEU",2018-10-11,2.01303601264954
"Germany","GERMANY","DEU",2018-10-12,0.922357976436615
"Germany","GERMANY","DEU",2018-10-13,1.19790041446686
"Germany","GERMANY","DEU",2018-10-14,1.63538134098053
"Germany","GERMANY","DEU",2018-10-15,2.33536148071289
"Germany","GERMANY","DEU",2018-10-16,3.61723303794861
"Germany","GERMANY","DEU",2018-10-17,4.26416110992432
"Germany","GERMANY","DEU",2018-10-18,5.74019908905029
"Germany","GERMANY","DEU",2018-10-19,7.72702264785767
"Germany","GERMANY","DEU",2018-10-20,8.70553684234619
"Germany","GERMANY","DEU",2018-10-21,9.08129024505615
"Germany","GERMANY","DEU",2018-10-22,9.78319549560547
"Germany","GERMANY","DEU",2018-10-23,8.90911388397217
"Germany","GERMANY","DEU",2018-10-24,6.66906356811523
"Germany","GERMANY","DEU",2018-10-25,6.72471904754639
"Germany","GERMANY","DEU",2018-10-26,8.61228275299072
"Germany","GERMANY","DEU",2018-10-27,12.056845664978
"Germany","GERMANY","DEU",2018-10-28,14.2722320556641
"Germany","GERMANY","DEU",2018-10-29,13.2049770355225
"Germany","GERMANY","DEU",2018-10-30,10.8803482055664
"Germany","GERMANY","DEU",2018-10-31,10.6463279724121
"Germany","GERMANY","DEU",2018-11-01,10.1807985305786
"Germany","GERMANY","DEU",2018-11-02,9.90120983123779
"Germany","GERMANY","DEU",2018-11-03,11.6048698425293
"Germany","GERMANY","DEU",2018-11-04,9.78921031951904
"Germany","GERMANY","DEU",2018-11-05,8.03266620635986
"Germany","GERMANY","DEU",2018-11-06,7.80531549453735
"Germany","GERMANY","DEU",2018-11-07,7.96620512008667
"Germany","GERMANY","DEU",2018-11-08,8.66258239746094
"Germany","GERMANY","DEU",2018-11-09,9.11000919342041
"Germany","GERMANY","DEU",2018-11-10,8.14614582061768
"Germany","GERMANY","DEU",2018-11-11,7.29169464111328
"Germany","GERMANY","DEU",2018-11-12,6.95725393295288
"Germany","GERMANY","DEU",2018-11-13,8.51553726196289
"Germany","GERMANY","DEU",2018-11-14,11.4976110458374
"Germany","GERMANY","DEU",2018-11-15,13.004340171814
"Germany","GERMANY","DEU",2018-11-16,13.7712345123291
"Germany","GERMANY","DEU",2018-11-17,15.1243476867676
"Germany","GERMANY","DEU",2018-11-18,16.5557689666748
"Germany","GERMANY","DEU",2018-11-19,15.5533561706543
"Germany","GERMANY","DEU",2018-11-20,16.2984752655029
"Germany","GERMANY","DEU",2018-11-21,16.8786811828613
"Germany","GERMANY","DEU",2018-11-22,16.4201183319092
"Germany","GERMANY","DEU",2018-11-23,16.2416152954102
"Germany","GERMANY","DEU",2018-11-24,14.9797792434692
"Germany","GERMANY","DEU",2018-11-25,14.2343950271606
"Germany","GERMANY","DEU",2018-11-26,14.6549606323242
"Germany","GERMANY","DEU",2018-11-27,16.7422008514404
"Germany","GERMANY","DEU",2018-11-28,16.7931823730469
"Germany","GERMANY","DEU",2018-11-29,14.4639329910278
"Germany","GERMANY","DEU",2018-11-30,13.2882652282715
"Germany","GERMANY","DEU",2018-12-01,12.2947998046875
"Germany","GERMANY","DEU",2018-12-02,9.43768310546875
"Germany","GERMANY","DEU",2018-12-03,7.14730978012085
"Germany","GERMANY","DEU",2018-12-04,12.1534595489502
"Germany","GERMANY","DEU",2018-12-05,15.0245380401611
"Germany","GERMANY","DEU",2018-12-06,10.5407199859619
"Germany","GERMANY","DEU",2018-12-07,8.11888122558594
"Germany","GERMANY","DEU",2018-12-08,11.3192987442017
"Germany","GERMANY","DEU",2018-12-09,11.2989072799683
"Germany","GERMANY","DEU",2018-12-10,14.181791305542
"Germany","GERMANY","DEU",2018-12-11,15.2935361862183
"Germany","GERMANY","DEU",2018-12-12,16.4587535858154
"Germany","GERMANY","DEU",2018-12-13,17.8431491851807
"Germany","GERMANY","DEU",2018-12-14,18.56081199646
"Germany","GERMANY","DEU",2018-12-15,19.1715526580811
"Germany","GERMANY","DEU",2018-12-16,18.9547996520996
"Germany","GERMANY","DEU",2018-12-17,15.8152294158936
"Germany","GERMANY","DEU",2018-12-18,14.8538856506348
"Germany","GERMANY","DEU",2018-12-19,14.6491622924805
"Germany","GERMANY","DEU",2018-12-20,12.9363231658936
"Germany","GERMANY","DEU",2018-12-21,10.2455749511719
"Germany","GERMANY","DEU",2018-12-22,9.85055160522461
"Germany","GERMANY","DEU",2018-12-23,11.0258693695068
"Germany","GERMANY","DEU",2018-12-24,14.453351020813
"Germany","GERMANY","DEU",2018-12-25,15.8213376998901
"Germany","GERMANY","DEU",2018-12-26,16.6070022583008
"Germany","GERMANY","DEU",2018-12-27,16.1827507019043
"Germany","GERMANY","DEU",2018-12-28,16.2875308990479
"Germany","GERMANY","DEU",2018-12-29,14.9805421829224
"Germany","GERMANY","DEU",2018-12-30,12.6183958053589
"Germany","GERMANY","DEU",2018-12-31,11.9043645858765
"Germany","GERMANY","DEU",2019-01-01,12.460072517395
"Germany","GERMANY","DEU",2019-01-02,16.0831604003906
"Germany","GERMANY","DEU",2019-01-03,18.3230209350586
"Germany","GERMANY","DEU",2019-01-04,16.785120010376
"Germany","GERMANY","DEU",2019-01-05,13.7514266967773
"Germany","GERMANY","DEU",2019-01-06,14.2582168579102
"Germany","GERMANY","DEU",2019-01-07,14.1619052886963
"Germany","GERMANY","DEU",2019-01-08,13.6857080459595
"Germany","GERMANY","DEU",2019-01-09,16.4369125366211
"Germany","GERMANY","DEU",2019-01-10,18.0344047546387
"Germany","GERMANY","DEU",2019-01-11,16.8999347686768
"Germany","GERMANY","DEU",2019-01-12,14.1870193481445
"Germany","GERMANY","DEU",2019-01-13,12.2288503646851
"Germany","GERMANY","DEU",2019-01-14,14.9659147262573
"Germany","GERMANY","DEU",2019-01-15,14.6192169189453
"Germany","GERMANY","DEU",2019-01-16,13.8589496612549
"Germany","GERMANY","DEU",2019-01-17,14.4418573379517
"Germany","GERMANY","DEU",2019-01-18,18.6360683441162
"Germany","GERMANY","DEU",2019-01-19,20.747730255127
"Germany","GERMANY","DEU",2019-01-20,22.0986213684082
"Germany","GERMANY","DEU",2019-01-21,22.0457534790039
"Germany","GERMANY","DEU",2019-01-22,21.9224166870117
"Germany","GERMANY","DEU",2019-01-23,22.3638648986816
"Germany","GERMANY","DEU",2019-01-24,22.3696899414062
"Germany","GERMANY","DEU",2019-01-25,21.1221332550049
"Germany","GERMANY","DEU",2019-01-26,15.4711275100708
"Germany","GERMANY","DEU",2019-01-27,13.7652635574341
"Germany","GERMANY","DEU",2019-01-28,16.266357421875
"Germany","GERMANY","DEU",2019-01-29,17.8221092224121
"Germany","GERMANY","DEU",2019-01-30,18.6219539642334
"Germany","GERMANY","DEU",2019-01-31,18.8655281066895
"Germany","GERMANY","DEU",2019-02-01,17.3822193145752
"Germany","GERMANY","DEU",2019-02-02,16.7936687469482
"Germany","GERMANY","DEU",2019-02-03,17.2455577850342
"Germany","GERMANY","DEU",2019-02-04,17.8709602355957
"Germany","GERMANY","DEU",2019-02-05,17.3297386169434
"Germany","GERMANY","DEU",2019-02-06,16.9041175842285
"Germany","GERMANY","DEU",2019-02-07,15.3887968063354
"Germany","GERMANY","DEU",2019-02-08,12.8563795089722
"Germany","GERMANY","DEU",2019-02-09,11.2663402557373
"Germany","GERMANY","DEU",2019-02-10,11.6846103668213
"Germany","GERMANY","DEU",2019-02-11,14.4693651199341
"Germany","GERMANY","DEU",2019-02-12,15.4002332687378
"Germany","GERMANY","DEU",2019-02-13,14.4820117950439
"Germany","GERMANY","DEU",2019-02-14,13.8446855545044
"Germany","GERMANY","DEU",2019-02-15,12.6967325210571
"Germany","GERMANY","DEU",2019-02-16,11.8557472229004
"Germany","GERMANY","DEU",2019-02-17,11.8243608474731
"Germany","GERMANY","DEU",2019-02-18,11.6530208587646
"Germany","GERMANY","DEU",2019-02-19,12.1033229827881
"Germany","GERMANY","DEU",2019-02-20,12.3292598724365
"Germany","GERMANY","DEU",2019-02-21,10.8332471847534
"Germany","GERMANY","DEU",2019-02-22,11.3866329193115
"Germany","GERMANY","DEU",2019-02-23,15.1828594207764
"Germany","GERMANY","DEU",2019-02-24,13.8701066970825
"Germany","GERMANY","DEU",2019-02-25,11.7535953521729
"Germany","GERMANY","DEU",2019-02-26,10.7650527954102
"Germany","GERMANY","DEU",2019-02-27,9.93512535095215
"Germany","GERMANY","DEU",2019-02-28,9.5246000289917
"Germany","GERMANY","DEU",2019-03-01,11.5933780670166
"Germany","GERMANY","DEU",2019-03-02,12.0625524520874
"Germany","GERMANY","DEU",2019-03-03,8.67842388153076
"Germany","GERMANY","DEU",2019-03-04,9.48292350769043
"Germany","GERMANY","DEU",2019-03-05,12.5360927581787
"Germany","GERMANY","DEU",2019-03-06,10.1768817901611
"Germany","GERMANY","DEU",2019-03-07,8.92424869537354
"Germany","GERMANY","DEU",2019-03-08,11.1926698684692
"Germany","GERMANY","DEU",2019-03-09,10.3148813247681
"Germany","GERMANY","DEU",2019-03-10,11.0719699859619
"Germany","GERMANY","DEU",2019-03-11,14.8116283416748
"Germany","GERMANY","DEU",2019-03-12,12.8787240982056
"Germany","GERMANY","DEU",2019-03-13,12.4697427749634
"Germany","GERMANY","DEU",2019-03-14,12.7108373641968
"Germany","GERMANY","DEU",2019-03-15,10.3428840637207
"Germany","GERMANY","DEU",2019-03-16,9.47703552246094
"Germany","GERMANY","DEU",2019-03-17,10.5952796936035
"Germany","GERMANY","DEU",2019-03-18,13.8942718505859
"Germany","GERMANY","DEU",2019-03-19,14.3075256347656
"Germany","GERMANY","DEU",2019-03-20,12.4701910018921
"Germany","GERMANY","DEU",2019-03-21,9.74561214447022
"Germany","GERMANY","DEU",2019-03-22,8.28922176361084
"Germany","GERMANY","DEU",2019-03-23,9.30555438995361
"Germany","GERMANY","DEU",2019-03-24,10.8207778930664
"Germany","GERMANY","DEU",2019-03-25,13.1708106994629
"Germany","GERMANY","DEU",2019-03-26,13.0159797668457
"Germany","GERMANY","DEU",2019-03-27,11.6243534088135
"Germany","GERMANY","DEU",2019-03-28,9.810546875
"Germany","GERMANY","DEU",2019-03-29,8.34420299530029
"Germany","GERMANY","DEU",2019-03-30,7.46132659912109
"Germany","GERMANY","DEU",2019-03-31,9.23255825042725
"Germany","GERMANY","DEU",2019-04-01,10.2802391052246
"Germany","GERMANY","DEU",2019-04-02,7.72860765457153
"Germany","GERMANY","DEU",2019-04-03,8.71969604492188
"Germany","GERMANY","DEU",2019-04-04,11.3879890441895
"Germany","GERMANY","DEU",2019-04-05,11.095739364624
"Germany","GERMANY","DEU",2019-04-06,7.43593692779541
"Germany","GERMANY","DEU",2019-04-07,6.24145793914795
"Germany","GERMANY","DEU",2019-04-08,7.08991956710815
"Germany","GERMANY","DEU",2019-04-09,9.22567081451416
