"Date","RH"
2018-08-21,62.00446
2018-08-22,53.96012
2018-08-23,61.587833
2018-08-24,70.63983
2018-08-25,72.686066
2018-08-26,60.368675
2018-08-27,64.62282
2018-08-28,65.438896
2018-08-29,61.115612
2018-08-30,79.03542
2018-08-31,74.12102
2018-09-01,70.4807
2018-09-02,78.14883
2018-09-03,80.07207
2018-09-04,76.17832
2018-09-05,70.786385
2018-09-06,73.67829
2018-09-07,78.50496
2018-09-08,64.94466
2018-09-09,61.327156
2018-09-10,61.14422
2018-09-11,60.976414
2018-09-12,64.717834
2018-09-13,79.92555
2018-09-14,75.08819
2018-09-15,69.116325
2018-09-16,64.25034
2018-09-17,58.99897
2018-09-18,55.53836
2018-09-19,62.897747
2018-09-20,61.26917
2018-09-21,65.15578
2018-09-22,69.57939
2018-09-23,86.044365
2018-09-24,73.671455
2018-09-25,69.5975
2018-09-26,60.77407
2018-09-27,61.797302
2018-09-28,67.1886
2018-09-29,66.21039
2018-09-30,63.324097
2018-10-01,78.48089
2018-10-02,82.48209
2018-10-03,73.47379
2018-10-04,78.90098
2018-10-05,71.285835
2018-10-06,72.51937
2018-10-07,78.88072
2018-10-08,79.93673
2018-10-09,80.65368
2018-10-10,76.00525
2018-10-11,65.76062
2018-10-12,65.93373
2018-10-13,63.788765
2018-10-14,60.37498
2018-10-15,59.743477
2018-10-16,69.9339
2018-10-17,75.44851
2018-10-18,83.050446
2018-10-19,81.62901
2018-10-20,78.37759
2018-10-21,77.56885
2018-10-22,78.084656
2018-10-23,80.12343
2018-10-24,81.56281
2018-10-25,82.33904
2018-10-26,80.97167
2018-10-27,81.450775
2018-10-28,85.38563
2018-10-29,88.16518
2018-10-30,78.75324
2018-10-31,73.440254
2018-11-01,81.58967
2018-11-02,82.8859
2018-11-03,84.56044
2018-11-04,90.50658
2018-11-05,87.984
2018-11-06,84.05746
2018-11-07,84.02191
2018-11-08,87.49078
2018-11-09,90.90293
2018-11-10,86.30191
2018-11-11,85.72399
2018-11-12,85.036606
2018-11-13,87.79434
2018-11-14,90.60251
2018-11-15,89.53757
2018-11-16,82.717735
2018-11-17,77.45953
2018-11-18,74.8819
2018-11-19,81.05423
2018-11-20,79.19168
2018-11-21,85.10949
2018-11-22,87.28108
2018-11-23,90.81021
2018-11-24,93.05443
2018-11-25,93.057495
2018-11-26,89.063705
2018-11-27,86.167274
2018-11-28,82.32025
2018-11-29,76.18683
2018-11-30,81.50536
2018-12-01,90.19776
2018-12-02,91.262054
2018-12-03,90.57297
2018-12-04,84.097015
2018-12-05,88.466034
2018-12-06,89.97502
2018-12-07,88.680115
2018-12-08,81.20987
2018-12-09,84.87371
2018-12-10,82.61435
2018-12-11,85.69064
2018-12-12,89.121
2018-12-13,84.68677
2018-12-14,79.34923
2018-12-15,76.48921
2018-12-16,83.555756
2018-12-17,92.37356
2018-12-18,90.496284
2018-12-19,87.446915
2018-12-20,90.50314
2018-12-21,87.91159
2018-12-22,86.30282
2018-12-23,91.790565
2018-12-24,87.09457
2018-12-25,84.731415
2018-12-26,89.49712
2018-12-27,88.056694
2018-12-28,89.70175
2018-12-29,93.190575
2018-12-30,87.74735
2018-12-31,95.38443
2019-01-01,85.22951
2019-01-02,70.03462
2019-01-03,82.15403
2019-01-04,90.8573
2019-01-05,93.57609
2019-01-06,92.90985
2019-01-07,92.885025
2019-01-08,87.084854
2019-01-09,84.62232
2019-01-10,85.222885
2019-01-11,91.53993
2019-01-12,91.321945
2019-01-13,91.1996
2019-01-14,77.51297
2019-01-15,83.99768
2019-01-16,82.03383
2019-01-17,82.82618
2019-01-18,81.02855
2019-01-19,81.33098
2019-01-20,84.50545
2019-01-21,84.39134
2019-01-22,82.37203
2019-01-23,82.27696
2019-01-24,80.01759
2019-01-25,80.96133
2019-01-26,92.652306
2019-01-27,88.617836
2019-01-28,87.69144
2019-01-29,85.77487
2019-01-30,80.443695
2019-01-31,80.38911
2019-02-01,84.64421
2019-02-02,94.046974
2019-02-03,88.735634
2019-02-04,81.48827
2019-02-05,83.96626
2019-02-06,81.69515
2019-02-07,81.083435
2019-02-08,80.34496
2019-02-09,73.0671
2019-02-10,81.07652
2019-02-11,79.93265
2019-02-12,78.60492
2019-02-13,81.84456
2019-02-14,73.99349
2019-02-15,67.23817
2019-02-16,64.326126
2019-02-17,67.98813
2019-02-18,64.92419
2019-02-19,75.54474
2019-02-20,78.45902
2019-02-21,80.69808
2019-02-22,82.20804
2019-02-23,61.494743
2019-02-24,52.81701
2019-02-25,59.617012
2019-02-26,62.947815
2019-02-27,55.98645
2019-02-28,68.759514
2019-03-01,86.03278
2019-03-02,82.040436
2019-03-03,79.29471
2019-03-04,69.09766
2019-03-05,76.71655
2019-03-06,73.40843
2019-03-07,69.65732
2019-03-08,71.44465
2019-03-09,76.0748
2019-03-10,78.247925
2019-03-11,80.18413
2019-03-12,66.44169
2019-03-13,72.719734
2019-03-14,85.76534
2019-03-15,83.20667
2019-03-16,78.11707
2019-03-17,71.24345
2019-03-18,76.65544
2019-03-19,71.79491
2019-03-20,68.71144
2019-03-21,69.03913
2019-03-22,71.016
2019-03-23,73.95073
2019-03-24,73.52455
2019-03-25,78.111565
2019-03-26,76.27867
2019-03-27,78.3001
2019-03-28,80.21616
2019-03-29,72.85153
2019-03-30,63.373764
2019-03-31,63.522404
2019-04-01,59.050182
2019-04-02,57.252888
2019-04-03,72.24164
2019-04-04,79.44314
2019-04-05,83.69541
2019-04-06,71.11396
2019-04-07,64.26457
2019-04-08,69.34691
2019-04-09,73.608475
2019-04-10,65.47299
2019-04-11,61.62483
2019-04-12,64.846855
2019-04-13,71.39318
2019-04-14,76.17859
2019-04-15,60.690067
2019-04-16,53.63058
2019-04-17,53.782536
2019-04-18,49.762733
2019-04-19,46.65201
2019-04-20,43.89562
2019-04-21,43.693123
2019-04-22,43.540627
2019-04-23,53.1367
2019-04-24,57.973194
2019-04-25,54.446156
2019-04-26,76.38467
2019-04-27,80.87471
2019-04-28,79.09179
2019-04-29,82.2836
2019-04-30,69.10694
2019-05-01,70.74427
2019-05-02,72.63349
2019-05-03,69.43254
