"Date","HDDThold18"
2018-01-01,11.5260133743286
2018-01-02,13.486102104187
2018-01-03,11.7940921783447
2018-01-04,11.2611923217773
2018-01-05,10.8137512207031
2018-01-06,12.6562070846558
2018-01-07,15.4561443328857
2018-01-08,15.9468011856079
2018-01-09,14.3760709762573
2018-01-10,13.5260467529297
2018-01-11,14.6573734283447
2018-01-12,14.9835157394409
2018-01-13,15.7229404449463
2018-01-14,17.613452911377
2018-01-15,16.1548595428467
2018-01-16,14.0923728942871
2018-01-17,16.3260631561279
2018-01-18,14.4346399307251
2018-01-19,15.8729448318481
2018-01-20,16.6575717926025
2018-01-21,17.2199058532715
2018-01-22,15.4374122619629
2018-01-23,12.9045972824097
2018-01-24,9.18224334716797
2018-01-25,10.3590364456177
2018-01-26,12.5843772888184
2018-01-27,13.5735034942627
2018-01-28,11.1558694839478
2018-01-29,9.94915199279785
2018-01-30,13.3382329940796
2018-01-31,12.1579341888428
2018-02-01,15.4083518981934
2018-02-02,16.0208644866943
2018-02-03,17.0300045013428
2018-02-04,18.6382293701172
2018-02-05,19.1453628540039
2018-02-06,20.4352569580078
2018-02-07,20.2575397491455
2018-02-08,20.8043041229248
2018-02-09,19.810489654541
2018-02-10,17.9010486602783
2018-02-11,16.3421516418457
2018-02-12,17.3894538879395
2018-02-13,18.8192596435547
2018-02-14,19.4733619689941
2018-02-15,17.5313167572021
2018-02-16,15.5235757827759
2018-02-17,17.5173587799072
2018-02-18,17.9020290374756
2018-02-19,18.4022026062012
2018-02-20,18.7621383666992
2018-02-21,18.9329376220703
2018-02-22,19.4483795166016
2018-02-23,20.3323631286621
2018-02-24,20.6584663391113
2018-02-25,23.4441928863525
2018-02-26,24.8144092559814
2018-02-27,25.9976673126221
2018-02-28,27.123836517334
2018-03-01,24.6511631011963
2018-03-02,23.6903896331787
2018-03-03,21.1985569000244
2018-03-04,16.4355087280273
2018-03-05,13.3671159744263
2018-03-06,14.9197597503662
2018-03-07,14.3248424530029
2018-03-08,13.0175838470459
2018-03-09,12.6979837417603
2018-03-10,9.56959915161133
2018-03-11,7.75546550750732
2018-03-12,9.18749237060547
2018-03-13,11.3760328292847
2018-03-14,13.403754234314
2018-03-15,13.1090393066406
2018-03-16,14.4662895202637
2018-03-17,19.9103622436523
2018-03-18,21.0652523040771
2018-03-19,20.4909191131592
2018-03-20,18.7870407104492
2018-03-21,17.9129486083984
2018-03-22,16.3607769012451
2018-03-23,14.3955678939819
2018-03-24,13.3659515380859
2018-03-25,12.7157096862793
2018-03-26,13.0830688476562
2018-03-27,13.1583690643311
2018-03-28,12.0573711395264
2018-03-29,13.2607955932617
2018-03-30,11.8104057312012
2018-03-31,12.4471187591553
2018-04-01,13.9294776916504
2018-04-02,11.1970739364624
2018-04-03,5.17234373092651
2018-04-04,5.7850513458252
2018-04-05,10.1158361434937
2018-04-06,10.9320020675659
2018-04-07,5.30913543701172
2018-04-08,2.76273560523987
2018-04-09,3.66977190971375
2018-04-10,3.89252781867981
2018-04-11,6.79842567443848
2018-04-12,4.15557956695557
2018-04-13,6.21076345443726
2018-04-14,6.21128416061401
2018-04-15,5.04768896102905
2018-04-16,5.17712450027466
2018-04-17,4.1920313835144
2018-04-18,0.715220987796783
2018-04-19,0.125194385647774
2018-04-20,0.0468964390456676
2018-04-21,0.747188746929169
2018-04-22,0.533265054225922
2018-04-23,1.38330614566803
2018-04-24,4.68581342697144
2018-04-25,4.68155574798584
2018-04-26,8.50914192199707
2018-04-27,6.66323232650757
2018-04-28,4.21590662002563
2018-04-29,1.70794177055359
2018-04-30,4.27456140518188
2018-05-01,8.71830558776855
2018-05-02,7.25315999984741
2018-05-03,5.66920804977417
2018-05-04,4.66470050811768
2018-05-05,2.71003031730652
2018-05-06,0.957178890705109
2018-05-07,0.11451768130064
2018-05-08,0.0352330468595028
2018-05-09,0.111186727881432
2018-05-10,2.68575429916382
2018-05-11,3.96802401542664
2018-05-12,0.136075437068939
2018-05-13,1.08664131164551
2018-05-14,0.98234611749649
2018-05-15,1.80141711235046
2018-05-16,3.15619611740112
2018-05-17,5.11621332168579
2018-05-18,6.1647310256958
2018-05-19,5.00132751464844
2018-05-20,1.41607391834259
2018-05-21,0.12637186050415
2018-05-22,0.0461802072823048
2018-05-23,0.0313341580331326
2018-05-24,0.0939222648739815
2018-05-25,0.028842817991972
2018-05-26,0.00226096133701503
2018-05-27,0.00313942693173885
2018-05-28,0.00122038344852626
2018-05-29,0.00146102788858115
2018-05-30,0.00124146149028092
2018-05-31,0.00135172181762754
2018-06-01,0.00257909181527793
2018-06-02,0.00552373006939888
2018-06-03,0.00141595071181654
2018-06-04,0.0127138504758477
2018-06-05,0.0152700003236532
2018-06-06,0.00141658494248986
2018-06-07,0.0015192253049463
2018-06-08,0.0016686450690031
2018-06-09,0.00125396181829273
2018-06-10,0
2018-06-11,0.00153111456893384
2018-06-12,1.02446830272675
2018-06-13,3.88821578025818
2018-06-14,1.52682435512543
2018-06-15,0.0460136979818344
2018-06-16,0.0162610039114952
2018-06-17,0.0447731800377369
2018-06-18,0.015609567053616
2018-06-19,0.00139320665039122
2018-06-20,0
2018-06-21,0.903764009475708
2018-06-22,5.64600515365601
2018-06-23,5.06460618972778
2018-06-24,3.54075288772583
2018-06-25,1.04876470565796
2018-06-26,0.446415692567825
2018-06-27,0.0716299414634705
2018-06-28,0.375135689973831
2018-06-29,0.0178351681679487
2018-06-30,0.00868150033056736
2018-07-01,0.200151517987251
2018-07-02,0.0458066426217556
2018-07-03,0.00140884320717304
