"Date","HDD16"
2018-01-01,9.52601432800293
2018-01-02,11.4861059188843
2018-01-03,9.79409217834473
2018-01-04,9.26118278503418
2018-01-05,8.81374645233154
2018-01-06,10.656213760376
2018-01-07,13.4561357498169
2018-01-08,13.9467916488647
2018-01-09,12.3760757446289
2018-01-10,11.5260467529297
2018-01-11,12.6573677062988
2018-01-12,12.983510017395
2018-01-13,13.7229356765747
2018-01-14,15.6134624481201
2018-01-15,14.1548595428467
2018-01-16,12.0923624038696
2018-01-17,14.3260526657104
2018-01-18,12.4346466064453
2018-01-19,13.8729591369629
2018-01-20,14.657567024231
2018-01-21,15.2198991775513
2018-01-22,13.4374094009399
2018-01-23,10.9045972824097
2018-01-24,7.18224334716797
2018-01-25,8.3590259552002
2018-01-26,10.5843725204468
2018-01-27,11.5734958648682
2018-01-28,9.15586757659912
2018-01-29,7.94915199279785
2018-01-30,11.338231086731
2018-01-31,10.1579370498657
2018-02-01,13.4083518981934
2018-02-02,14.0208616256714
2018-02-03,15.0300207138062
2018-02-04,16.6382369995117
2018-02-05,17.1453647613525
2018-02-06,18.4352531433105
2018-02-07,18.2575359344482
2018-02-08,18.8043003082275
2018-02-09,17.8104991912842
2018-02-10,15.9010629653931
2018-02-11,14.3421573638916
2018-02-12,15.3894462585449
2018-02-13,16.8192672729492
2018-02-14,17.4733486175537
2018-02-15,15.5313262939453
2018-02-16,13.5235776901245
2018-02-17,15.5173578262329
2018-02-18,15.9020214080811
2018-02-19,16.4021911621094
2018-02-20,16.7621212005615
2018-02-21,16.932933807373
2018-02-22,17.4483833312988
2018-02-23,18.3323612213135
2018-02-24,18.6584548950195
2018-02-25,21.4441909790039
2018-02-26,22.8144111633301
2018-02-27,23.9976844787598
2018-02-28,25.1238422393799
2018-03-01,22.6511688232422
2018-03-02,21.6903705596924
2018-03-03,19.1985530853271
2018-03-04,14.435510635376
2018-03-05,11.3671092987061
2018-03-06,12.9197635650635
2018-03-07,12.3248510360718
2018-03-08,11.0175848007202
2018-03-09,10.6979684829712
2018-03-10,7.5695915222168
2018-03-11,5.75546503067017
2018-03-12,7.18749332427979
2018-03-13,9.37602710723877
2018-03-14,11.4037551879883
2018-03-15,11.1090469360352
2018-03-16,12.4662990570068
2018-03-17,17.9103660583496
2018-03-18,19.0652370452881
2018-03-19,18.4909076690674
2018-03-20,16.7870426177979
2018-03-21,15.9129419326782
2018-03-22,14.3607902526855
2018-03-23,12.3955688476562
2018-03-24,11.3659591674805
2018-03-25,10.7157020568848
2018-03-26,11.0830745697021
2018-03-27,11.1583776473999
2018-03-28,10.0573692321777
2018-03-29,11.2607936859131
2018-03-30,9.81041049957275
2018-03-31,10.4471092224121
2018-04-01,11.9294710159302
2018-04-02,9.19707870483398
2018-04-03,3.22016549110413
2018-04-04,3.93928575515747
2018-04-05,8.1158390045166
2018-04-06,8.93200016021729
2018-04-07,3.57921862602234
2018-04-08,1.74558210372925
2018-04-09,2.1090567111969
2018-04-10,2.57100367546081
2018-04-11,4.80428743362427
2018-04-12,2.64585638046265
2018-04-13,4.40187501907349
2018-04-14,4.21128559112549
2018-04-15,3.09240984916687
2018-04-16,3.2727746963501
2018-04-17,2.47186303138733
2018-04-18,0.4735327064991
2018-04-19,0.0857834294438362
2018-04-20,0.0297403931617737
2018-04-21,0.496717184782028
2018-04-22,0.329447627067566
2018-04-23,0.794323325157166
2018-04-24,3.06708383560181
2018-04-25,3.00747871398926
2018-04-26,6.50914144515991
2018-04-27,4.66323566436768
2018-04-28,2.52846384048462
2018-04-29,0.970224499702454
